officename,pincode,officeType,Deliverystatus,divisionname,regionname,circlename,Taluk,Districtname,statename,Telephone,Related Suboffice,Related Headoffice,longitude,latitude
Jhakri S.O,172201,S.O,Delivery,Rampur Bushahr,Shimla HQ,Himachal Pradesh,Rampur(T),Shimla,HIMACHAL PRADESH,01782-275040,NA,Rampur Bushahr H.O,NA,NA
Kalpa S.O,172108,S.O,Delivery,Rampur Bushahr,Shimla HQ,Himachal Pradesh,Kalpa(T),Kinnaur,HIMACHAL PRADESH,01786-226060,NA,Reckong Peo H.O,NA,NA
Kamand B.O,172026,B.O,Delivery,Rampur Bushahr,Shimla HQ,Himachal Pradesh,Ani(S.T),Kullu,HIMACHAL PRADESH,NA,Anni S.O,Rampur Bushahr H.O,NA,NA
Kamroo B.O,172106,B.O,Delivery,Rampur Bushahr,Shimla HQ,Himachal Pradesh,Sangla,Kinnaur,HIMACHAL PRADESH,NA,Sangla S.O,Reckong Peo H.O,NA,NA
Kanam B.O,172110,B.O,Delivery,Rampur Bushahr,Shimla HQ,Himachal Pradesh,Poo(T),Kinnaur,HIMACHAL PRADESH,NA,Speelo S.O,Reckong Peo H.O,NA,NA
Kandagai B.O,172025,B.O,Delivery,Rampur Bushahr,Shimla HQ,Himachal Pradesh,Ani(S.T),Kullu,HIMACHAL PRADESH,NA,Dalash S.O,Rampur Bushahr H.O,NA,NA
Kandugad B.O,172026,B.O,Delivery,Rampur Bushahr,Shimla HQ,Himachal Pradesh,Ani(S.T),Kullu,HIMACHAL PRADESH,NA,Anni S.O,Rampur Bushahr H.O,NA,NA
Karana B.O,172026,B.O,Delivery,Rampur Bushahr,Shimla HQ,Himachal Pradesh,Anni,Kullu,HIMACHAL PRADESH,NA,Anni S.O,Rampur Bushahr H.O,NA,NA
Karcham S.O,172105,S.O,Delivery,Rampur Bushahr,Shimla HQ,Himachal Pradesh,Sangla(T),Kinnaur,HIMACHAL PRADESH,01786-232210,NA,Reckong Peo H.O,NA,NA
Kareri B.O,172022,B.O,Delivery,Rampur Bushahr,Shimla HQ,Himachal Pradesh,Rampur(T),Shimla,HIMACHAL PRADESH,NA,Nogli S.O,Rampur Bushahr H.O,NA,NA
Kartot B.O,172201,B.O,Delivery,Rampur Bushahr,Shimla HQ,Himachal Pradesh,Rampur Bushahr,Shimla,HIMACHAL PRADESH,NA,Jhakri S.O,Rampur Bushahr H.O,NA,NA
Kashapat B.O,172022,B.O,Delivery,Rampur Bushahr,Shimla HQ,Himachal Pradesh,Rampur(T),Shimla,HIMACHAL PRADESH,NA,Nogli S.O,Rampur Bushahr H.O,NA,NA
Katgaon S.O,172118,S.O,Delivery,Rampur Bushahr,Shimla HQ,Himachal Pradesh,Nichar(T),Kinnaur,HIMACHAL PRADESH,01786-262221,NA,Reckong Peo H.O,NA,NA
Kayab B.O,172101,B.O,Delivery,Rampur Bushahr,Shimla HQ,Himachal Pradesh,Rampur(T),Shimla,HIMACHAL PRADESH,NA,Jeori S.O,Rampur Bushahr H.O,NA,NA
Kaza S.O,172114,S.O,Delivery,Rampur Bushahr,Shimla HQ,Himachal Pradesh,Spiti       (T),Lahul & Spiti,HIMACHAL PRADESH,01906-222207,NA,Reckong Peo H.O,NA,NA
Kee Gompa B.O,172114,B.O,Delivery,Rampur Bushahr,Shimla HQ,Himachal Pradesh,Spiti       (T),Lahul & Spiti,HIMACHAL PRADESH,NA,Kaza S.O,Reckong Peo H.O,NA,NA
Khamadi B.O,172001,B.O directly a/w Head Office,Delivery,Rampur Bushahr,Shimla HQ,Himachal Pradesh,Rampur(T),Shimla,HIMACHAL PRADESH,NA,NA,Rampur Bushahr H.O,NA,NA
Khanag B.O,172026,B.O,Delivery,Rampur Bushahr,Shimla HQ,Himachal Pradesh,Ani(S.T),Kullu,HIMACHAL PRADESH,NA,Anni S.O,Rampur Bushahr H.O,NA,NA
Khaneri B.O,172001,B.O directly a/w Head Office,Delivery,Rampur Bushahr,Shimla HQ,Himachal Pradesh,Rampur Bushahr,Shimla,HIMACHAL PRADESH,NA,NA,Rampur Bushahr H.O,NA,NA
Kharga B.O,172201,B.O,Delivery,Rampur Bushahr,Shimla HQ,Himachal Pradesh,Rampur(T),Shimla,HIMACHAL PRADESH,NA,Jhakri S.O,Rampur Bushahr H.O,NA,NA
Khawangi B.O,172107,B.O directly a/w Head Office,Delivery,Rampur Bushahr,Shimla HQ,Himachal Pradesh,Kalpa(T),Kinnaur,HIMACHAL PRADESH,NA,NA,Reckong Peo H.O,NA,NA
Khunn B.O,172026,B.O,Delivery,Rampur Bushahr,Shimla HQ,Himachal Pradesh,Ani(S.T),Kullu,HIMACHAL PRADESH,NA,Anni S.O,Rampur Bushahr H.O,NA,NA
