officename,pincode,officeType,Deliverystatus,divisionname,regionname,circlename,Taluk,Districtname,statename,Telephone,Related Suboffice,Related Headoffice,longitude,latitude
Mekha Timbi B.O,360470,B.O,Delivery,Gondal,Rajkot,Gujarat,Upleta,Rajkot,GUJARAT,NA,Kolki S.O (Rajkot),Gondal H.O,NA,NA
Mengni S.O,360070,S.O,Delivery,Gondal,Rajkot,Gujarat,Kotda Sangani,Rajkot,GUJARAT,02827-295541,NA,Gondal H.O,NA,NA
Mervadar B.O,360490,B.O,Delivery,Gondal,Rajkot,Gujarat,Upleta,Rajkot,GUJARAT,NA,Upleta Lati Plot S.O,Gondal H.O,NA,NA
Meta Khambhaliya B.O,364465,B.O,Delivery,Gondal,Rajkot,Gujarat,Gondal,Rajkot,GUJARAT,NA,Derdi Kumbaji S.O,Gondal H.O,NA,NA
Mevasa B.O,360370,B.O,Delivery,Gondal,Rajkot,Gujarat,Jetpur,Rajkot,GUJARAT,NA,Jetpur S.O,Gondal H.O,NA,NA
Modhuka B.O,360055,B.O,Delivery,Gondal,Rajkot,Gujarat,Jasdan,Rajkot,GUJARAT,NA,Vinchhiya S.O,Gondal H.O,NA,NA
Mojira B.O,360490,B.O,Delivery,Gondal,Rajkot,Gujarat,Upleta,Rajkot,GUJARAT,NA,Upleta Lati Plot S.O,Gondal H.O,NA,NA
Mota Gundala B.O,360370,B.O,Delivery,Gondal,Rajkot,Gujarat,Jetpur,Rajkot,GUJARAT,NA,Jetpur S.O,Gondal H.O,NA,NA
Mota Mandva B.O,360311,B.O directly a/w Head Office,Delivery,Gondal,Rajkot,Gujarat,Gondal,Rajkot,GUJARAT,NA,NA,Gondal H.O,NA,NA
Moti Khilori B.O,364465,B.O,Delivery,Gondal,Rajkot,Gujarat,Gondal,Rajkot,GUJARAT,NA,Derdi Kumbaji S.O,Gondal H.O,NA,NA
Moti Marad S.O,360421,S.O,Delivery,Gondal,Rajkot,Gujarat,Dhoraji,Rajkot,GUJARAT,02824-284740,NA,Gondal H.O,NA,NA
Moti Parabadi B.O,360360,B.O,Delivery,Gondal,Rajkot,Gujarat,Dhoraji,Rajkot,GUJARAT,NA,Jetalsar Jn. S.O,Gondal H.O,NA,NA
Moti Vavdi B.O,360440,B.O,Delivery,Gondal,Rajkot,Gujarat,Dhoraji,Rajkot,GUJARAT,NA,Supedi S.O,Gondal H.O,NA,NA
Moviya S.O,360330,S.O,Delivery,Gondal,Rajkot,Gujarat,Gondal,Rajkot,GUJARAT,02825-281420,NA,Gondal H.O,NA,NA
Nagalkhada B.O,360410,B.O,Delivery,Gondal,Rajkot,Gujarat,Dhoraji,Rajkot,GUJARAT,NA,Dhoraji S.O,Gondal H.O,NA,NA
Nagvadar B.O,360490,B.O,Delivery,Gondal,Rajkot,Gujarat,Upleta,Rajkot,GUJARAT,NA,Upleta Lati Plot S.O,Gondal H.O,NA,NA
Nana Mandva B.O,360311,B.O directly a/w Head Office,Delivery,Gondal,Rajkot,Gujarat,Gondal,Rajkot,GUJARAT,NA,NA,Gondal H.O,NA,NA
Nani Parabadi B.O,360360,B.O,Delivery,Gondal,Rajkot,Gujarat,Dhoraji,Rajkot,GUJARAT,NA,Jetalsar Jn. S.O,Gondal H.O,NA,NA
Nani Vavdi B.O,360440,B.O,Delivery,Gondal,Rajkot,Gujarat,Dhoraji,Rajkot,GUJARAT,NA,Supedi S.O,Gondal H.O,NA,NA
Nava Matravad B.O,360450,B.O,Delivery,Gondal,Rajkot,Gujarat,Jamkandorna,Rajkot,GUJARAT,NA,Bhayavadar S.O,Gondal H.O,NA,NA
Navagadh S.O,360375,S.O,Delivery,Gondal,Rajkot,Gujarat,Jetpur,Rajkot,GUJARAT,02823-227843,NA,Gondal H.O,NA,NA
Navagam B.O,360320,B.O,Delivery,Gondal,Rajkot,Gujarat,Gondal,Rajkot,GUJARAT,NA,Gomta S.O,Gondal H.O,NA,NA
Nilakha B.O,360490,B.O,Delivery,Gondal,Rajkot,Gujarat,Upleta,Rajkot,GUJARAT,NA,Upleta Lati Plot S.O,Gondal H.O,NA,NA
Nonghanchora B.O,360070,B.O,Delivery,Gondal,Rajkot,Gujarat,Kotda,Rajkot,GUJARAT,NA,Mengni S.O,Gondal H.O,NA,NA
Ori B.O,360055,B.O,Delivery,Gondal,Rajkot,Gujarat,Sayla,Surendra Nagar,GUJARAT,NA,Vinchhiya S.O,Gondal H.O,NA,NA
Padavla B.O,360480,B.O,Delivery,Gondal,Rajkot,Gujarat,Upleta,Rajkot,GUJARAT,NA,Paneli S.O,Gondal H.O,NA,NA
