officename,pincode,officeType,Deliverystatus,divisionname,regionname,circlename,Taluk,Districtname,statename,Telephone,Related Suboffice,Related Headoffice,longitude,latitude
Pithaguda B.O,764037,B.O,Delivery,Koraput,Berhampur,Odisha,Nandapur,Koraput,ODISHA,NA,Nandapur S.O,Koraput H.O,NA,NA
Podagada B.O,765013,B.O,Delivery,Koraput,Berhampur,Odisha,Narayanpatna,Koraput,ODISHA,NA,Laxmipur (Koraput) S.O,Koraput H.O,NA,NA
Podaghat B.O,764043,B.O,Delivery,Koraput,Berhampur,Odisha,Jeypore(k),Koraput,ODISHA,NA,Boipariguda S.O,Jeypore(K) H.O,NA,NA
Podapadar B.O,764014,B.O,Delivery,Koraput,Berhampur,Odisha,Narayanpatna,Koraput,ODISHA,NA,Narayanpatna S.O,Koraput H.O,NA,NA
Podapari B.O,765015,B.O,Delivery,Koraput,Berhampur,Odisha,Kashipur,Rayagada,ODISHA,NA,Kashipur (Rayagada) S.O,Rayagada(K) H.O,NA,NA
Podia B.O,764047,B.O,Delivery,Koraput,Berhampur,Odisha,Kalimela,Malkangiri,ODISHA,NA,Kalimela S.O,Jeypore(K) H.O,NA,NA
Polama B.O,765016,B.O,Delivery,Koraput,Berhampur,Odisha,K.singhpur,Rayagada,ODISHA,NA,K.Singhpur S.O,Rayagada(K) H.O,NA,NA
Pongam B.O,764044,B.O,Delivery,Koraput,Berhampur,Odisha,Malkangiri,Malkangiri,ODISHA,NA,Mathili S.O,Jeypore(K) H.O,NA,NA
Populuru B.O,764052,B.O,Delivery,Koraput,Berhampur,Odisha,Kalimela,Malkangiri,ODISHA,NA,Chitrakonda S.O,Jeypore(K) H.O,NA,NA
Porli B.O,764056,B.O,Delivery,Koraput,Berhampur,Odisha,Borigumma,Koraput,ODISHA,NA,Borigumma S.O,Koraput H.O,NA,NA
Porsola B.O,764063,B.O,Delivery,Koraput,Berhampur,Odisha,Nabarangpur,Nabarangapur,ODISHA,NA,Mirganiguda S.O,Jeypore(K) H.O,NA,NA
Potrel B.O,764051,B.O,Delivery,Koraput,Berhampur,Odisha,Malkangiri,Malkangiri,ODISHA,NA,Balimela S.O,Jeypore(K) H.O,NA,NA
Pottangi S.O,764039,S.O,Delivery,Koraput,Berhampur,Odisha,Pottangi,Koraput,ODISHA,06853-252522,NA,Koraput H.O,NA,NA
Prasadraopeta S.O,764003,S.O,Delivery,Koraput,Berhampur,Odisha,Jeypur,Koraput,ODISHA,06854-232099,NA,Jeypore(K) H.O,NA,NA
Pujariguda B.O,764070,B.O,Delivery,Koraput,Berhampur,Odisha,Nabarangpur,Nabarangapur,ODISHA,NA,Tentulikhunti S.O,Jeypore(K) H.O,NA,NA
Pujariguda B.O,765016,B.O,Delivery,Koraput,Berhampur,Odisha,K.singhpur,Rayagada,ODISHA,NA,K.Singhpur S.O,Rayagada(K) H.O,NA,NA
Pujariguda B.O,764063,B.O,Delivery,Koraput,Berhampur,Odisha,Nabarangapur,Nabarangapur,ODISHA,NA,Mirganiguda S.O,Jeypore(K) H.O,NA,NA
Pujariput B.O,764056,B.O,Delivery,Koraput,Berhampur,Odisha,Boipariguda,Koraput,ODISHA,NA,Borigumma S.O,Koraput H.O,NA,NA
Pukali B.O,764039,B.O,Delivery,Koraput,Berhampur,Odisha,Pottangi,Koraput,ODISHA,NA,Pottangi S.O,Koraput H.O,NA,NA
Pulimetla B.O,764086,B.O,Delivery,Koraput,Berhampur,Odisha,Malkangiri,Malkangiri,ODISHA,NA,Saradhapalli S.O,Jeypore(K) H.O,NA,NA
Puttasingi B.O,765022,B.O,Delivery,Koraput,Berhampur,Odisha,Gunupur,Rayagada,ODISHA,NA,Gunupur S.O,Rayagada(K) H.O,NA,NA
"R K Nagar, Rayagada S.O",765001,S.O,Non-Delivery,Koraput,Berhampur,Odisha,Rayagada,Rayagada,ODISHA,06856-222196,NA,Rayagada(K) H.O,NA,NA
R Zone(Sunabeda) S.O,763002,S.O,Non-Delivery,Koraput,Berhampur,Odisha,Sunabeda,Koraput,ODISHA,06583-220533,NA,Koraput H.O,NA,NA
R.Jaganathpur B.O,764078,B.O,Delivery,Koraput,Berhampur,Odisha,Nabarangapur,Nabarangapur,ODISHA,NA,Dongerbheja S.O,Jeypore(K) H.O,NA,NA
Raghubari B.O,765021,B.O,Delivery,Koraput,Berhampur,Odisha,Bissamcuttack,Rayagada,ODISHA,NA,Ambadola S.O,Rayagada(K) H.O,NA,NA
Raighar S.O,764074,S.O,Delivery,Koraput,Berhampur,Odisha,Umerkote,Nabarangapur,ODISHA,06866-275522,NA,Jeypore(K) H.O,NA,NA
Raisingi B.O,764038,B.O,Delivery,Koraput,Berhampur,Odisha,Pottangi,Koraput,ODISHA,NA,Padwa S.O (Koraput),Koraput H.O,NA,NA
Rajkote B.O,764077,B.O,Delivery,Koraput,Berhampur,Odisha,Umerkote,Nabarangapur,ODISHA,NA,Chandahandi S.O,Jeypore(K) H.O,NA,NA
Rajoda B.O,764061,B.O,Delivery,Koraput,Berhampur,Odisha,Kodinga,Nabarangapur,ODISHA,NA,Kosagumuda S.O,Jeypore(K) H.O,NA,NA
Rajput B.O,764036,B.O,Delivery,Koraput,Berhampur,Odisha,Similiguda,Koraput,ODISHA,NA,Semiliguda S.O,Koraput H.O,NA,NA
Ralegada B.O,764039,B.O,Delivery,Koraput,Berhampur,Odisha,Pottangi,Koraput,ODISHA,NA,Pottangi S.O,Koraput H.O,NA,NA
Ramanaguda S.O,765029,S.O,Delivery,Koraput,Berhampur,Odisha,Rayagada,Rayagada,ODISHA,06857-262122,NA,Rayagada(K) H.O,NA,NA
Ramgiri B.O,764043,B.O,Delivery,Koraput,Berhampur,Odisha,Jeypore(k),Koraput,ODISHA,NA,Boipariguda S.O,Jeypore(K) H.O,NA,NA
Ranaspur B.O,764057,B.O,Delivery,Koraput,Berhampur,Odisha,Borigumma,Koraput,ODISHA,NA,Bhairabsinghpur S.O,Koraput H.O,NA,NA
Rangamatiguda B.O,764063,B.O,Delivery,Koraput,Berhampur,Odisha,Nabarangapur,Nabarangapur,ODISHA,NA,Mirganiguda S.O,Jeypore(K) H.O,NA,NA
Raniguda B.O,764056,B.O,Delivery,Koraput,Berhampur,Odisha,Kundura,Koraput,ODISHA,NA,Borigumma S.O,Koraput H.O,NA,NA
Raniput B.O,764005,B.O,Delivery,Koraput,Berhampur,Odisha,Jeypore(k),Koraput,ODISHA,NA,Jayanagar S.O (Koraput),Jeypore(K) H.O,NA,NA
Ranjiput B.O,764027,B.O,Delivery,Koraput,Berhampur,Odisha,Koraput,Koraput,ODISHA,NA,Bandhugam S.O,Koraput H.O,NA,NA
Rasbeda B.O,764043,B.O,Delivery,Koraput,Berhampur,Odisha,Boipariguda,Koraput,ODISHA,NA,Boipariguda S.O,Jeypore(K) H.O,NA,NA
Rayagada Bazar S.O,765001,S.O,Non-Delivery,Koraput,Berhampur,Odisha,Rayagada,Rayagada,ODISHA,06856-222044,NA,Rayagada(K) H.O,NA,NA
Rayagada Gandhinagar S.O,765001,S.O,Non-Delivery,Koraput,Berhampur,Odisha,Rayagada,Rayagada,ODISHA,06856-222327,NA,Rayagada(K) H.O,NA,NA
Rayagada R.S S.O,765001,S.O,Non-Delivery,Koraput,Berhampur,Odisha,Rayagada,Rayagada,ODISHA,06856-222329,NA,Rayagada(K) H.O,NA,NA
Rayagada S.F. S.O,765002,S.O,Delivery,Koraput,Berhampur,Odisha,Rayagada,Rayagada,ODISHA,06856-222066,NA,Rayagada(K) H.O,NA,NA
Rayagada(K) H.O,765001,H.O,Delivery,Koraput,Berhampur,Odisha,Rayagada(k),Rayagada,ODISHA,06856-235955,NA,NA,NA,NA
Regada B.O,765022,B.O,Delivery,Koraput,Berhampur,Odisha,Gunupur,Rayagada,ODISHA,NA,Gunupur S.O,Rayagada(K) H.O,NA,NA
Rekhapadar B.O,765029,B.O,Delivery,Koraput,Berhampur,Odisha,Gunupur,Rayagada,ODISHA,NA,Ramanaguda S.O,Rayagada(K) H.O,NA,NA
Relageda B.O,764052,B.O,Delivery,Koraput,Berhampur,Odisha,Chitrakonda,Malkangiri,ODISHA,NA,Chitrakonda S.O,Jeypore(K) H.O,NA,NA
Renga B.O,764036,B.O,Delivery,Koraput,Berhampur,Odisha,Koraput,Koraput,ODISHA,NA,Semiliguda S.O,Koraput H.O,NA,NA
Renga B.O,765015,B.O,Delivery,Koraput,Berhampur,Odisha,Kashipur,Rayagada,ODISHA,NA,Kashipur (Rayagada) S.O,Rayagada(K) H.O,NA,NA
Rondapalli B.O,764002,B.O,Delivery,Koraput,Berhampur,Odisha,Jeypore(k),Koraput,ODISHA,NA,Jeypore(K) R.S. S.O,Jeypore(K) H.O,NA,NA
S.Dhamini B.O,765029,B.O,Delivery,Koraput,Berhampur,Odisha,Gunupur,Rayagada,ODISHA,NA,Ramanaguda S.O,Rayagada(K) H.O,NA,NA
S.S.Khal B.O,765002,B.O,Delivery,Koraput,Berhampur,Odisha,Rayagada,Rayagada,ODISHA,NA,Rayagada S.F. S.O,Rayagada(K) H.O,NA,NA
Sadabari B.O,764027,B.O,Delivery,Koraput,Berhampur,Odisha,Narayanpatana,Koraput,ODISHA,NA,Bandhugam S.O,Koraput H.O,NA,NA
