officename,pincode,officeType,Deliverystatus,divisionname,regionname,circlename,Taluk,Districtname,statename,Telephone,Related Suboffice,Related Headoffice,longitude,latitude
Vasai B.O,391110,B.O,Delivery,Vadodara East,Vadodara,Gujarat,Dabhoi,Vadodara,GUJARAT,NA,Dabhoi R.S. S.O,Dabhoi H.O,NA,NA
Vasan Sevada B.O,391145,B.O,Delivery,Vadodara East,Vadodara,Gujarat,Sankheda,Vadodara,GUJARAT,NA,Sankheda S.O,Dabhoi H.O,NA,NA
Vasna B.O,391140,B.O,Delivery,Vadodara East,Vadodara,Gujarat,Pavijetpur,Vadodara,GUJARAT,NA,Kosindra S.O,Dabhoi H.O,NA,NA
Vijli B.O,391170,B.O,Delivery,Vadodara East,Vadodara,Gujarat,Kawant,Vadodara,GUJARAT,NA,Kawant S.O,Dabhoi H.O,NA,NA
Virod B.O,390022,B.O,Delivery,Vadodara East,Vadodara,Gujarat,Vadodara,Vadodara,GUJARAT,NA,Harni Colony S.O,Vadodara H.O,NA,NA
Virpur B.O,391165,B.O,Delivery,Vadodara East,Vadodara,Gujarat,Chhotaudepur,Vadodara,GUJARAT,NA,Chhota-udepur S.O,Dabhoi H.O,NA,NA
Vora B.O,391120,B.O,Delivery,Vadodara East,Vadodara,Gujarat,Tilakwada,Narmada,GUJARAT,NA,Tilakwada S.O,Dabhoi H.O,NA,NA
Vydhar B.O,391121,B.O,Delivery,Vadodara East,Vadodara,Gujarat,Tilakwada,Narmada,GUJARAT,NA,Devaliya S.O,Dabhoi H.O,NA,NA
Wadhwana B.O,391110,B.O,Delivery,Vadodara East,Vadodara,Gujarat,Dabhoi,Vadodara,GUJARAT,NA,Dabhoi R.S. S.O,Dabhoi H.O,NA,NA
Wadi S.N. Road S.O,390017,S.O,Delivery,Vadodara East,Vadodara,Gujarat,Vadodara,Vadodara,GUJARAT,0265-2562882,NA,Vadodara H.O,NA,NA
Wagach B.O,391152,B.O,Delivery,Vadodara East,Vadodara,Gujarat,Naswadi,Vadodara,GUJARAT,NA,Gadhboriad S.O,Dabhoi H.O,NA,NA
Waghodia Road S.O,390025,S.O,Non-Delivery,Vadodara East,Vadodara,Gujarat,Vadodara,Vadodara,GUJARAT,0265-2512090,NA,Vadodara H.O,NA,NA
Waghva B.O,391160,B.O,Delivery,Vadodara East,Vadodara,Gujarat,Pavijetpur,Vadodara,GUJARAT,NA,Pavijetpur S.O,Dabhoi H.O,NA,NA
Zanzad B.O,391115,B.O,Delivery,Vadodara East,Vadodara,Gujarat,Sinor,Vadodara,GUJARAT,NA,Sinor S.O,Dabhoi H.O,NA,NA
Zer B.O,391152,B.O,Delivery,Vadodara East,Vadodara,Gujarat,Naswadi,Vadodara,GUJARAT,NA,Gadhboriad S.O,Dabhoi H.O,NA,NA
Zoz B.O,391165,B.O,Delivery,Vadodara East,Vadodara,Gujarat,Chhotaudepur,Vadodara,GUJARAT,NA,Chhota-udepur S.O,Dabhoi H.O,NA,NA
Abhol B.O,391421,B.O,Delivery,Vadodara West,Vadodara,Gujarat,Padra,Vadodara,GUJARAT,NA,Masar Road S.O,Fateganj H.O,NA,NA
Adiran B.O,391510,B.O,Delivery,Vadodara West,Vadodara,Gujarat,Vaghodia,Vadodara,GUJARAT,NA,Jarod S.O,Fateganj H.O,NA,NA
Ajod B.O,391740,B.O,Delivery,Vadodara West,Vadodara,Gujarat,Vadodara,Vadodara,GUJARAT,NA,Chhani S.O (Vadodara),Fateganj H.O,NA,NA
Ajwa Compound B.O,391510,B.O,Delivery,Vadodara West,Vadodara,Gujarat,Vaghodia,Vadodara,GUJARAT,NA,Jarod S.O,Fateganj H.O,NA,NA
Akota S.O,390020,S.O,Delivery,Vadodara West,Vadodara,Gujarat,Vadodara,Vadodara,GUJARAT,0265-2358051,NA,Fateganj H.O,NA,NA
Alkapuri S.O,390007,S.O,Non-Delivery,Vadodara West,Vadodara,Gujarat,Vadodara,Vadodara,GUJARAT,0265-2353354,NA,Fateganj H.O,NA,NA
Alva B.O,391760,B.O,Delivery,Vadodara West,Vadodara,Gujarat,Vaghodia,Vadodara,GUJARAT,NA,Vaghodia S.O,Fateganj H.O,NA,NA
Ambada B.O,391445,B.O,Delivery,Vadodara West,Vadodara,Gujarat,Padra,Vadodara,GUJARAT,NA,Ranu S.O,Fateganj H.O,NA,NA
Ambali B.O,391760,B.O,Delivery,Vadodara West,Vadodara,Gujarat,Vaghodia,Vadodara,GUJARAT,NA,Vaghodia S.O,Fateganj H.O,NA,NA
Amla B.O,391445,B.O,Delivery,Vadodara West,Vadodara,Gujarat,Padra,Vadodara,GUJARAT,NA,Ranu S.O,Fateganj H.O,NA,NA
Ampad B.O,391101,B.O,Delivery,Vadodara West,Vadodara,Gujarat,Vadodara,Vadodara,GUJARAT,NA,Sevasi S.O,Fateganj H.O,NA,NA
Amreshwar B.O,391761,B.O,Delivery,Vadodara West,Vadodara,Gujarat,Dabhoi,Vadodara,GUJARAT,NA,Rustampura S.O (Vadodara),Fateganj H.O,NA,NA
Anandpura B.O,391761,B.O,Delivery,Vadodara West,Vadodara,Gujarat,Sankheda,Vadodara,GUJARAT,NA,Rustampura S.O (Vadodara),Fateganj H.O,NA,NA
Anastu B.O,391240,B.O,Delivery,Vadodara West,Vadodara,Gujarat,Karjan,Vadodara,GUJARAT,NA,Miyagam Karjan S.O,Fateganj H.O,NA,NA
Angadh B.O,391330,B.O,Delivery,Vadodara West,Vadodara,Gujarat,Vadodara,Vadodara,GUJARAT,NA,Koyali S.O,Fateganj H.O,NA,NA
Anjesar B.O,391775,B.O,Delivery,Vadodara West,Vadodara,Gujarat,Savli,Vadodara,GUJARAT,NA,Tundav S.O,Fateganj H.O,NA,NA
Ankodia B.O,391330,B.O,Delivery,Vadodara West,Vadodara,Gujarat,Vadodara,Vadodara,GUJARAT,NA,Koyali S.O,Fateganj H.O,NA,NA
Anti B.O,391445,B.O,Delivery,Vadodara West,Vadodara,Gujarat,Padra,Vadodara,GUJARAT,NA,Ranu S.O,Fateganj H.O,NA,NA
Antoli B.O,391761,B.O,Delivery,Vadodara West,Vadodara,Gujarat,Vaghodia,Vadodara,GUJARAT,NA,Rustampura S.O (Vadodara),Fateganj H.O,NA,NA
Asoj B.O,391510,B.O,Delivery,Vadodara West,Vadodara,Gujarat,Vaghodia,Vadodara,GUJARAT,NA,Jarod S.O,Fateganj H.O,NA,NA
Asoj B.O,391745,B.O,Delivery,Vadodara West,Vadodara,Gujarat,Vadodara,Vadodara,GUJARAT,NA,Sokhda S.O,Fateganj H.O,NA,NA
