officename,pincode,officeType,Deliverystatus,divisionname,regionname,circlename,Taluk,Districtname,statename,Telephone,Related Suboffice,Related Headoffice,longitude,latitude
Tendrabong B.O,734314,B.O,Delivery,Darjeeling,North Bengal And Sikkim,West Bengal,Kalimpong - II,Darjiling,WEST BENGAL,NA,Algarah S.O,Darjeeling H.O,NA,NA
Tharjhorabagan B.O,734427,B.O,Delivery,Darjeeling,North Bengal And Sikkim,West Bengal,Naxalbari,Darjiling,WEST BENGAL,NA,Khoribari S.O,Siliguri H.O,NA,NA
Thurbo B.O,734214,B.O,Delivery,Darjeeling,North Bengal And Sikkim,West Bengal,Kurseong,Darjiling,WEST BENGAL,NA,Mirik S.O,Siliguri H.O,NA,NA
Tinchuley B.O,734222,B.O,Delivery,Darjeeling,North Bengal And Sikkim,West Bengal,Rangli Rangliot,Darjiling,WEST BENGAL,NA,Takdah S.O,Darjeeling H.O,NA,NA
Tindharia S.O,734223,S.O,Delivery,Darjeeling,North Bengal And Sikkim,West Bengal,Kurseong,Darjiling,WEST BENGAL,0354-2341233,NA,Darjeeling H.O,NA,NA
Tista Bridge S.O,734312,S.O,Delivery,Darjeeling,North Bengal And Sikkim,West Bengal,Kalimpong,Darjiling,WEST BENGAL,NA,NA,Darjeeling H.O,NA,NA
Topkhana S.O,734316,S.O,Delivery,Darjeeling,North Bengal And Sikkim,West Bengal,Darjeeling Pulbazar,Darjiling,WEST BENGAL,NA,NA,Darjeeling H.O,NA,NA
Tukvar S.O,734124,S.O,Delivery,Darjeeling,North Bengal And Sikkim,West Bengal,Darjeeling Pulbazar,Darjiling,WEST BENGAL,NA,NA,Darjeeling H.O,NA,NA
Tung S.O,734224,S.O,Delivery,Darjeeling,North Bengal And Sikkim,West Bengal,Kurseong,Darjiling,WEST BENGAL,0354-2342015,NA,Darjeeling H.O,NA,NA
Udaigram B.O,734104,B.O,Delivery,Darjeeling,North Bengal And Sikkim,West Bengal,Darjeeling Pulbazar,Darjiling,WEST BENGAL,NA,North Point S.O,Darjeeling H.O,NA,NA
Upper Dalapchand B.O,734316,B.O,Delivery,Darjeeling,North Bengal And Sikkim,West Bengal,Kalimpong,Darjiling,WEST BENGAL,NA,Topkhana S.O,Darjeeling H.O,NA,NA
Vivekanandapally S.O,734001,S.O,Non-Delivery,Darjeeling,North Bengal And Sikkim,West Bengal,Rajganj,Jalpaiguri,WEST BENGAL,0353-22523602,NA,Siliguri H.O,NA,NA
Yangmakum Pambu B.O,734301,B.O,Delivery,Darjeeling,North Bengal And Sikkim,West Bengal,Kalimpong,Darjiling,WEST BENGAL,NA,Kalimpong S.O,Darjeeling H.O,NA,NA
Adarpara S.O,735101,S.O,Non-Delivery,Jalpaiguri,North Bengal And Sikkim,West Bengal,Jalpaiguri,Jalpaiguri,WEST BENGAL,03561-225781,NA,Jalpaiguri H.O,NA,NA
Ahlay B.O,735231,B.O,Delivery,Jalpaiguri,North Bengal And Sikkim,West Bengal,Gorubathan,Darjiling,WEST BENGAL,NA,Fagu S.O (Darjiling),Mal H.O,NA,NA
Alinagar B.O,735216,B.O,Delivery,Jalpaiguri,North Bengal And Sikkim,West Bengal,Falakata,Jalpaiguri,WEST BENGAL,NA,Jateswar S.O,Jalpaiguri H.O,NA,NA
Alok Jhari B.O,735224,B.O,Delivery,Jalpaiguri,North Bengal And Sikkim,West Bengal,Mekhliganj,Cooch Behar,WEST BENGAL,NA,Maynaguri S.O,Jalpaiguri H.O,NA,NA
Altagram Magurmari B.O,735210,B.O,Delivery,Jalpaiguri,North Bengal And Sikkim,West Bengal,Dhupguri,Jalpaiguri,WEST BENGAL,NA,Dhupguri S.O,Jalpaiguri H.O,NA,NA
Ambaribagan B.O,735207,B.O,Delivery,Jalpaiguri,North Bengal And Sikkim,West Bengal,Madarihat,Jalpaiguri,WEST BENGAL,NA,Chamurchi S.O,Mal H.O,NA,NA
Ambeok B.O,735231,B.O,Delivery,Jalpaiguri,North Bengal And Sikkim,West Bengal,Garubathan I,Darjiling,WEST BENGAL,NA,Fagu S.O (Darjiling),Mal H.O,NA,NA
Amguri Bazar B.O,735224,B.O,Delivery,Jalpaiguri,North Bengal And Sikkim,West Bengal,Mekhliganj,Cooch Behar,WEST BENGAL,NA,Maynaguri S.O,Jalpaiguri H.O,NA,NA
Ananda Pur B.O,735218,B.O,Delivery,Jalpaiguri,North Bengal And Sikkim,West Bengal,Mal,Jalpaiguri,WEST BENGAL,NA,Krantihat S.O,Mal H.O,NA,NA
Angrabhasa B.O,735202,B.O,Delivery,Jalpaiguri,North Bengal And Sikkim,West Bengal,Nagrakata,Jalpaiguri,WEST BENGAL,NA,Banarhat S.O,Mal H.O,NA,NA
Ashokebari B.O,735303,B.O,Delivery,Jalpaiguri,North Bengal And Sikkim,West Bengal,Mekliganj,Cooch Behar,WEST BENGAL,NA,Jamaldah S.O,Jalpaiguri H.O,NA,NA
Atpukuria Nayahat B.O,735211,B.O,Delivery,Jalpaiguri,North Bengal And Sikkim,West Bengal,Mathabhanga - II,Cooch Behar,WEST BENGAL,NA,Falakata S.O,Jalpaiguri H.O,NA,NA
Badaitari B.O,735220,B.O,Delivery,Jalpaiguri,North Bengal And Sikkim,West Bengal,Falakata,Jalpaiguri,WEST BENGAL,NA,Madarihat S.O,Mal H.O,NA,NA
Baganbari B.O,735211,B.O,Delivery,Jalpaiguri,North Bengal And Sikkim,West Bengal,Falakata,Jalpaiguri,WEST BENGAL,NA,Falakata S.O,Jalpaiguri H.O,NA,NA
Bagdokra B.O,735304,B.O,Delivery,Jalpaiguri,North Bengal And Sikkim,West Bengal,Mekhliganj,Cooch Behar,WEST BENGAL,NA,Mekhliganj S.O,Jalpaiguri H.O,NA,NA
Bagjan B.O,735302,B.O,Delivery,Jalpaiguri,North Bengal And Sikkim,West Bengal,Maynaguri,Jalpaiguri,WEST BENGAL,NA,Domohani S.O,Jalpaiguri H.O,NA,NA
Bagrakote S.O,734501,S.O,Delivery,Jalpaiguri,North Bengal And Sikkim,West Bengal,Mal,Jalpaiguri,WEST BENGAL,03562-250234,NA,Mal H.O,NA,NA
