officename,pincode,officeType,Deliverystatus,divisionname,regionname,circlename,Taluk,Districtname,statename,Telephone,Related Suboffice,Related Headoffice,longitude,latitude
Udhiyur S.O,638703,S.O,Delivery,Tirupur,Coimbatore,Tamilnadu,Kangayam,Erode,TAMIL NADU,04257-249111,NA,Dharapuram H.O,NA,NA
Ugayanur B.O,641605,B.O,Delivery,Tirupur,Coimbatore,Tamilnadu,Tirupur,Erode,TAMIL NADU,NA,Veerapandi S.O (Coimbatore),Tirupur H.O,NA,NA
Undarapatti B.O,638673,B.O,Delivery,Tirupur,Coimbatore,Tamilnadu,Dharapuram,Erode,TAMIL NADU,NA,Kolinjivadi S.O,Dharapuram H.O,NA,NA
Uppilipalayam B.O,641670,B.O,Delivery,Tirupur,Coimbatore,Tamilnadu,NA,Coimbatore,TAMIL NADU,NA,Karavalur S.O,Mettupalayam H.O,NA,NA
Uppupalayam B.O,638111,B.O,Delivery,Tirupur,Coimbatore,Tamilnadu,Dharapuram,Erode,TAMIL NADU,NA,Vellakoil S.O,Dharapuram H.O,NA,NA
Uthandiyur B.O,638402,B.O,Delivery,Tirupur,Coimbatore,Tamilnadu,Sathy,Erode,TAMIL NADU,NA,Rangasamudram S.O,Mettupalayam H.O,NA,NA
V.Kallipalayam B.O,641664,B.O,Delivery,Tirupur,Coimbatore,Tamilnadu,Palladam,Coimbatore,TAMIL NADU,NA,Palladam S.O,Tirupur H.O,NA,NA
V.Vadamalaipalayam B.O,641664,B.O,Delivery,Tirupur,Coimbatore,Tamilnadu,Palladam,Coimbatore,TAMIL NADU,NA,Palladam S.O,Tirupur H.O,NA,NA
Vadakkalur B.O,641653,B.O,Delivery,Tirupur,Coimbatore,Tamilnadu,Avanashi,Coimbatore,TAMIL NADU,NA,Annur S.O,Mettupalayam H.O,NA,NA
Vadambacherry B.O,641669,B.O,Delivery,Tirupur,Coimbatore,Tamilnadu,Palladam,Coimbatore,TAMIL NADU,NA,Sultanpet S.O,Tirupur H.O,NA,NA
Vadavalli-karamadai B.O,641697,B.O,Delivery,Tirupur,Coimbatore,Tamilnadu,Avanashi,Coimbatore,TAMIL NADU,NA,Pogalur S.O,Mettupalayam H.O,NA,NA
Vadavedampatti B.O,641671,B.O,Delivery,Tirupur,Coimbatore,Tamilnadu,Palladam,Coimbatore,TAMIL NADU,NA,Kettanur S.O,Tirupur H.O,NA,NA
Vadugankallipalayam B.O,641663,B.O,Delivery,Tirupur,Coimbatore,Tamilnadu,Tiruppur,Coimbatore,TAMIL NADU,NA,Mangalam S.O (Coimbatore),Tirupur H.O,NA,NA
Vadugapalayam B.O,641654,B.O,Delivery,Tirupur,Coimbatore,Tamilnadu,NA,Coimbatore,TAMIL NADU,NA,Avanash S.O,Tirupur H.O,NA,NA
Vadugapatti B.O,638106,B.O,Delivery,Tirupur,Coimbatore,Tamilnadu,Dharapuram,Erode,TAMIL NADU,NA,Mulanur S.O,Dharapuram H.O,NA,NA
Vaharayampalayam B.O,641659,B.O,Delivery,Tirupur,Coimbatore,Tamilnadu,Mettupalayam,Coimbatore,TAMIL NADU,NA,Karumathampatti S.O,Mettupalayam H.O,NA,NA
Valipalayam B.O,638402,B.O,Delivery,Tirupur,Coimbatore,Tamilnadu,Sathy,Erode,TAMIL NADU,NA,Rangasamudram S.O,Mettupalayam H.O,NA,NA
Vanjipalayam B.O,641663,B.O,Delivery,Tirupur,Coimbatore,Tamilnadu,Tiruppur,Coimbatore,TAMIL NADU,NA,Mangalam S.O (Coimbatore),Tirupur H.O,NA,NA
Varadampalayam B.O,638401,B.O,Non-Delivery,Tirupur,Coimbatore,Tamilnadu,Sathy,Erode,TAMIL NADU,NA,Sathy Bazaar S.O,Mettupalayam H.O,NA,NA
Vavipalayam B.O,641666,B.O,Delivery,Tirupur,Coimbatore,Tamilnadu,Tirupur,Coimbatore,TAMIL NADU,NA,Perumanallur S.O,Tirupur H.O,NA,NA
Vavipalayamkettanur B.O,641671,B.O,Delivery,Tirupur,Coimbatore,Tamilnadu,Palladam,Coimbatore,TAMIL NADU,NA,Kettanur S.O,Tirupur H.O,NA,NA
