officename,pincode,officeType,Deliverystatus,divisionname,regionname,circlename,Taluk,Districtname,statename,Telephone,Related Suboffice,Related Headoffice,longitude,latitude
Dabala Bazar S.O,507003,S.O,Non-Delivery,Khammam,Vijayawada,Andhra Pradesh,Khammam (Urban),Khammam,TELANGANA,08742-224539,NA,Khammam H.O,NA,NA
Dabbanuthala B.O,507137,B.O,Delivery,Khammam,Vijayawada,Andhra Pradesh,Dummagudem,Khammam,TELANGANA,NA,Dummagudem S.O,Bhadrachalam H.O,NA,NA
Dachavaram B.O,507114,B.O,Delivery,Khammam,Vijayawada,Andhra Pradesh,Burghampahad,Khammam,TELANGANA,NA,Burgampahad S.O,Bhadrachalam H.O,NA,NA
Damaracharla B.O,507114,B.O,Delivery,Khammam,Vijayawada,Andhra Pradesh,Burgampahad,Khammam,TELANGANA,NA,Burgampahad S.O,Bhadrachalam H.O,NA,NA
Damarcharla B.O,507166,B.O,Delivery,Khammam,Vijayawada,Andhra Pradesh,Julurupadu,Khammam,TELANGANA,NA,Julurpahad S.O,Kothagudem Colls H.O,NA,NA
Dammaigudem B.O,507183,B.O,Delivery,Khammam,Vijayawada,Andhra Pradesh,Pindipole,Khammam,TELANGANA,NA,Pindipolu S.O,Khammam H.O,NA,NA
Dammapeta S.O,507306,S.O,Delivery,Khammam,Vijayawada,Andhra Pradesh,Dammapeta,Khammam,TELANGANA,08740-252222,NA,Kothagudem Colls H.O,NA,NA
Dantalaboru B.O,507115,B.O,Delivery,Khammam,Vijayawada,Andhra Pradesh,Paloncha,Khammam,TELANGANA,NA,Paloncha S.O,Bhadrachalam H.O,NA,NA
Dendukuru B.O,507203,B.O,Delivery,Khammam,Vijayawada,Andhra Pradesh,Madhira,Khammam,TELANGANA,NA,Madhira S.O,Khammam H.O,NA,NA
Desinenipalem B.O,507203,B.O,Delivery,Khammam,Vijayawada,Andhra Pradesh,Aswapuram,Khammam,TELANGANA,NA,Madhira S.O,Khammam H.O,NA,NA
Dharedu B.O,507003,B.O,Delivery,Khammam,Vijayawada,Andhra Pradesh,Khammam,Khammam,TELANGANA,NA,Gandhichowk S.O (Khammam),Khammam H.O,NA,NA
Donkarayi S.O,507130,S.O,Delivery,Khammam,Vijayawada,Andhra Pradesh,Donkarayi,East Godavari,ANDHRA PRADESH,08863-222541,NA,Bhadrachalam H.O,NA,NA
Dubbagudem B.O,507210,B.O,Delivery,Khammam,Vijayawada,Andhra Pradesh,Garla,Khammam,TELANGANA,NA,Garla S.O,Khammam H.O,NA,NA
Duddepudi B.O,507303,B.O,Delivery,Khammam,Vijayawada,Andhra Pradesh,Sathupalli,Khammam,TELANGANA,NA,Sathupalli S.O,Kothagudem Colls H.O,NA,NA
Duginepalli B.O,507117,B.O,Delivery,Khammam,Vijayawada,Andhra Pradesh,Manuguru,Khammam,TELANGANA,NA,Manuguru Colls S.O,Bhadrachalam H.O,NA,NA
Dummagudem S.O,507137,S.O,Delivery,Khammam,Vijayawada,Andhra Pradesh,Dummagudem,Khammam,TELANGANA,08743-239322,NA,Bhadrachalam H.O,NA,NA
Edavalli B.O,507170,B.O,Delivery,Khammam,Vijayawada,Andhra Pradesh,Tallampahad,Khammam,TELANGANA,NA,Tallampahad S.O,Khammam H.O,NA,NA
Edicharlapalli B.O,507136,B.O,Delivery,Khammam,Vijayawada,Andhra Pradesh,Venkatapuram,Khammam,TELANGANA,NA,Venkatapuram S.O,Bhadrachalam H.O,NA,NA
Edira B.O,507133,B.O,Delivery,Khammam,Vijayawada,Andhra Pradesh,Charla,Khammam,TELANGANA,NA,Charla S.O,Bhadrachalam H.O,NA,NA
Edulapuram B.O,507163,B.O,Delivery,Khammam,Vijayawada,Andhra Pradesh,T.palem,Khammam,TELANGANA,NA,Tirumalayapalem S.O,Khammam H.O,NA,NA
Edullacheruvu B.O,507183,B.O,Delivery,Khammam,Vijayawada,Andhra Pradesh,Pindipole,Khammam,TELANGANA,NA,Pindipolu S.O,Khammam H.O,NA,NA
Edurallapalli B.O,507129,B.O,Delivery,Khammam,Vijayawada,Andhra Pradesh,Nellipaka,Khammam,TELANGANA,NA,Nellipaka S.O,Bhadrachalam H.O,NA,NA
Enagali B.O,507201,B.O,Delivery,Khammam,Vijayawada,Andhra Pradesh,Yerrupalem,Khammam,TELANGANA,NA,Yerrupalem S.O,Khammam H.O,NA,NA
Enkoor S.O,507168,S.O,Delivery,Khammam,Vijayawada,Andhra Pradesh,Enkoor,Khammam,TELANGANA,08744-277922,NA,Khammam H.O,NA,NA
Eswaramadharam B.O,507157,B.O,Delivery,Khammam,Vijayawada,Andhra Pradesh,Palair,Khammam,TELANGANA,NA,Palair S.O,Khammam H.O,NA,NA
Forebey Dam Camp B.O,507130,B.O,Delivery,Khammam,Vijayawada,Andhra Pradesh,Donkarayi,East Godavari,ANDHRA PRADESH,NA,Donkarayi S.O,Bhadrachalam H.O,NA,NA
Gaigollapalli B.O,507161,B.O,Delivery,Khammam,Vijayawada,Andhra Pradesh,Subled,Khammam,TELANGANA,NA,Subled S.O,Khammam H.O,NA,NA
Gandhasiri B.O,507158,B.O,Delivery,Khammam,Vijayawada,Andhra Pradesh,Gokinepalli,Khammam,TELANGANA,NA,Gokinepalli S.O,Khammam H.O,NA,NA
Gandhichowk S.O (Khammam),507003,S.O,Delivery,Khammam,Vijayawada,Andhra Pradesh,Aswapuram,Khammam,TELANGANA,08742-224539,NA,Khammam H.O,NA,NA
Gandugulapalli B.O,507303,B.O,Delivery,Khammam,Vijayawada,Andhra Pradesh,Sathupalli,Khammam,TELANGANA,NA,Sathupalli S.O,Kothagudem Colls H.O,NA,NA
Ganeshpadu B.O,507306,B.O,Delivery,Khammam,Vijayawada,Andhra Pradesh,Dammapeta,Khammam,TELANGANA,NA,Dammapeta S.O,Kothagudem Colls H.O,NA,NA
Gangolu B.O,507137,B.O,Delivery,Khammam,Vijayawada,Andhra Pradesh,Dummagudem,Khammam,TELANGANA,NA,Dummagudem S.O,Bhadrachalam H.O,NA,NA
Gannavaram B.O,507134,B.O,Delivery,Khammam,Vijayawada,Andhra Pradesh,Gdpeta,Khammam,TELANGANA,NA,Thotapalli S.O (Khammam),Bhadrachalam H.O,NA,NA
Gannavaram B.O,507165,B.O,Delivery,Khammam,Vijayawada,Andhra Pradesh,Wyra,Khammam,TELANGANA,NA,Wyra S.O,Khammam H.O,NA,NA
Gannerugoyyapadu B.O,507134,B.O,Delivery,Khammam,Vijayawada,Andhra Pradesh,Gdpeta,Khammam,TELANGANA,NA,Thotapalli S.O (Khammam),Bhadrachalam H.O,NA,NA
