officename,pincode,officeType,Deliverystatus,divisionname,regionname,circlename,Taluk,Districtname,statename,Telephone,Related Suboffice,Related Headoffice,longitude,latitude
Radoli B.O,303908,B.O,Delivery,Jaipur Moffusil,Jaipur HQ,Rajasthan,Jaipur,Jaipur,RAJASTHAN,NA,Kotkhawada S.O,Sambhar Lake H.O,NA,NA
Raghunathpura B.O,303701,B.O,Delivery,Jaipur Moffusil,Jaipur HQ,Rajasthan,Jaipur,Jaipur,RAJASTHAN,NA,Jahota S.O,Shahpura H.O,NA,NA
Raghunathpura B.O,303107,B.O,Delivery,Jaipur Moffusil,Jaipur HQ,Rajasthan,Jaipur,Jaipur,RAJASTHAN,NA,Pragpura S.O,Shahpura H.O,NA,NA
Rahuwas B.O,303505,B.O,Delivery,Jaipur Moffusil,Jaipur HQ,Rajasthan,Dausa,Dausa,RAJASTHAN,NA,Nangal Rajawatan S.O,Dausa H.O,NA,NA
Raikaranpura B.O,303105,B.O,Delivery,Jaipur Moffusil,Jaipur HQ,Rajasthan,Jaipur,Jaipur,RAJASTHAN,NA,Nareda S.O,Shahpura H.O,NA,NA
Raipur B.O,303001,B.O,Delivery,Jaipur Moffusil,Jaipur HQ,Rajasthan,Jaipur,Jaipur,RAJASTHAN,NA,Andhi S.O,Shahpura H.O,NA,NA
Raisar B.O,303109,B.O,Delivery,Jaipur Moffusil,Jaipur HQ,Rajasthan,Jaipur,Jaipur,RAJASTHAN,NA,Jamwaramgarh S.O,Shahpura H.O,NA,NA
Raithal B.O,303801,B.O,Delivery,Jaipur Moffusil,Jaipur HQ,Rajasthan,Jaipur,Jaipur,RAJASTHAN,NA,Kaladera S.O,Shahpura H.O,NA,NA
Rajnauta S.O,303110,S.O,Delivery,Jaipur Moffusil,Jaipur HQ,Rajasthan,Jaipur,Jaipur,RAJASTHAN,0141-2301996,NA,Shahpura H.O,NA,NA
Rajoli B.O,303511,B.O,Delivery,Jaipur Moffusil,Jaipur HQ,Rajasthan,Dausa,Dausa,RAJASTHAN,NA,Didwana S.O,Dausa H.O,NA,NA
