officename,pincode,officeType,Deliverystatus,divisionname,regionname,circlename,Taluk,Districtname,statename,Telephone,Related Suboffice,Related Headoffice,longitude,latitude
Mirjapur Poll B.O,247121,B.O,Delivery,Saharanpur,Bareilly,Uttar Pradesh,Behat,Saharanpur,UTTAR PRADESH,NA,Behat S.O (Saharanpur),Saharanpur H.O,NA,NA
Mission Compound S.O,247001,S.O,Non-Delivery,Saharanpur,Bareilly,Uttar Pradesh,Saharanpur,Saharanpur,UTTAR PRADESH,0132-2730826,NA,Saharanpur H.O,NA,NA
Mohand B.O,247662,B.O,Delivery,Saharanpur,Bareilly,Uttar Pradesh,M.bad,Saharanpur,UTTAR PRADESH,NA,Chutmalpur S.O,Saharanpur H.O,NA,NA
Mohanpura B.O,247341,B.O,Delivery,Saharanpur,Bareilly,Uttar Pradesh,Gangoh,Saharanpur,UTTAR PRADESH,NA,Gangoh S.O,Saharanpur H.O,NA,NA
Mora B.O,247453,B.O,Delivery,Saharanpur,Bareilly,Uttar Pradesh,Nanauta,Saharanpur,UTTAR PRADESH,NA,Jaroda Panda S.O,Saharanpur H.O,NA,NA
Mussail B.O,247120,B.O,Delivery,Saharanpur,Bareilly,Uttar Pradesh,Muzaffrabad,Saharanpur,UTTAR PRADESH,NA,Babail Buzurg S.O,Saharanpur H.O,NA,NA
Muzaffrabad S.O,247129,S.O,Delivery,Saharanpur,Bareilly,Uttar Pradesh,Muzaffrabad,Saharanpur,UTTAR PRADESH,0132-2775201,NA,Saharanpur H.O,NA,NA
Nagal S.O (Saharanpur),247551,S.O,Delivery,Saharanpur,Bareilly,Uttar Pradesh,Nagal,Saharanpur,UTTAR PRADESH,0132-2231205,NA,Saharanpur H.O,NA,NA
Nagrajpur B.O,247001,B.O directly a/w Head Office,Delivery,Saharanpur,Bareilly,Uttar Pradesh,Saharanpur H.o.,Saharanpur,UTTAR PRADESH,NA,NA,Saharanpur H.O,NA,NA
Nakur S.O,247342,S.O,Delivery,Saharanpur,Bareilly,Uttar Pradesh,Nakur,Saharanpur,UTTAR PRADESH,0132-2243227,NA,Saharanpur H.O,NA,NA
Nalhera Gujjar B.O,247451,B.O,Delivery,Saharanpur,Bareilly,Uttar Pradesh,Saharanpur,Saharanpur,UTTAR PRADESH,NA,Rampur S.O (Saharanpur),Saharanpur H.O,NA,NA
Nanauta S.O,247452,S.O,Delivery,Saharanpur,Bareilly,Uttar Pradesh,Nanauta,Saharanpur,UTTAR PRADESH,0132-254230,NA,Saharanpur H.O,NA,NA
Nandi Firozpur B.O,247001,B.O directly a/w Head Office,Delivery,Saharanpur,Bareilly,Uttar Pradesh,Saharanpur,Saharanpur,UTTAR PRADESH,NA,NA,Saharanpur H.O,NA,NA
Narayanpuri S.O,247001,S.O,Non-Delivery,Saharanpur,Bareilly,Uttar Pradesh,Saharanpur,Saharanpur,UTTAR PRADESH,0132-2730825,NA,Saharanpur H.O,NA,NA
Nasrullahgarh B.O,247342,B.O,Delivery,Saharanpur,Bareilly,Uttar Pradesh,Nakur,Saharanpur,UTTAR PRADESH,NA,Nakur S.O,Saharanpur H.O,NA,NA
Naya Gaon B.O,247453,B.O,Delivery,Saharanpur,Bareilly,Uttar Pradesh,Saharanpur,Saharanpur,UTTAR PRADESH,NA,Jaroda Panda S.O,Saharanpur H.O,NA,NA
Nazirpura Devli B.O,247001,B.O directly a/w Head Office,Delivery,Saharanpur,Bareilly,Uttar Pradesh,Saharanpur,Saharanpur,UTTAR PRADESH,NA,NA,Saharanpur H.O,NA,NA
Nehru Market S.O,247001,S.O,Non-Delivery,Saharanpur,Bareilly,Uttar Pradesh,Saharanpur,Saharanpur,UTTAR PRADESH,0132-2727017,NA,Saharanpur H.O,NA,NA
Niyamatpur B.O,247129,B.O,Delivery,Saharanpur,Bareilly,Uttar Pradesh,M.bad,Saharanpur,UTTAR PRADESH,NA,Muzaffrabad S.O,Saharanpur H.O,NA,NA
Pahansu B.O,247451,B.O,Delivery,Saharanpur,Bareilly,Uttar Pradesh,Rampur,Saharanpur,UTTAR PRADESH,NA,Rampur S.O (Saharanpur),Saharanpur H.O,NA,NA
Paharpur B.O,247551,B.O,Delivery,Saharanpur,Bareilly,Uttar Pradesh,Nagal,Saharanpur,UTTAR PRADESH,NA,Nagal S.O (Saharanpur),Saharanpur H.O,NA,NA
Pandoli B.O,247551,B.O,Delivery,Saharanpur,Bareilly,Uttar Pradesh,Nagal,Saharanpur,UTTAR PRADESH,NA,Nagal S.O (Saharanpur),Saharanpur H.O,NA,NA
