officename,pincode,officeType,Deliverystatus,divisionname,regionname,circlename,Taluk,Districtname,statename,Telephone,Related Suboffice,Related Headoffice,longitude,latitude
Pathrodih B.O,815352,B.O,Delivery,Santhal Parganas,Ranchi,Jharkhand,Narayanpur,Jamtara,JHARKHAND,NA,Karmatar S.O,B.Deoghar H.O,NA,NA
Pathrol B.O,815353,B.O,Delivery,Santhal Parganas,Ranchi,Jharkhand,Karon,Deoghar,JHARKHAND,NA,Madhupur S.O,B.Deoghar H.O,NA,NA
Patjore B.O,814148,B.O,Delivery,Santhal Parganas,Ranchi,Jharkhand,NA,Dumka,JHARKHAND,NA,Raghunathpur S.O (Dumka),Dumka H.O,NA,NA
Pattabari B.O,814119,B.O,Delivery,Santhal Parganas,Ranchi,Jharkhand,Sikaripara,Dumka,JHARKHAND,NA,Kurwa S.O,Dumka H.O,NA,NA
Pattajori Kajra B.O,815351,B.O,Delivery,Santhal Parganas,Ranchi,Jharkhand,NA,Jamtara,JHARKHAND,NA,Jamtara S.O,B.Deoghar H.O,NA,NA
Paway B.O,814150,B.O,Delivery,Santhal Parganas,Ranchi,Jharkhand,Sarwan,Deoghar,JHARKHAND,NA,Sarwan S.O,B.Deoghar H.O,NA,NA
Petsar B.O,814145,B.O,Delivery,Santhal Parganas,Ranchi,Jharkhand,Jarmundi,Dumka,JHARKHAND,NA,Nonihat S.O,Dumka H.O,NA,NA
Phudkipur B.O,816108,B.O,Delivery,Santhal Parganas,Ranchi,Jharkhand,Rajmahal,Sahibganj,JHARKHAND,NA,Rajmahal S.O,Dumka H.O,NA,NA
Phulbanga B.O,816102,B.O,Delivery,Santhal Parganas,Ranchi,Jharkhand,Barhait,Sahibganj,JHARKHAND,NA,Barhait S.O,Dumka H.O,NA,NA
Phulchuan B.O,814149,B.O,Delivery,Santhal Parganas,Ranchi,Jharkhand,Sarath,Deoghar,JHARKHAND,NA,Sarath S.O,B.Deoghar H.O,NA,NA
Phuljhijhri B.O,816117,B.O,Delivery,Santhal Parganas,Ranchi,Jharkhand,Pakuria,Pakur,JHARKHAND,NA,Pakuria S.O,Dumka H.O,NA,NA
Pinargaria B.O,816103,B.O,Delivery,Santhal Parganas,Ranchi,Jharkhand,Shikaripara,Dumka,JHARKHAND,NA,Benagaria S.O,Dumka H.O,NA,NA
Pindari B.O,814146,B.O,Delivery,Santhal Parganas,Ranchi,Jharkhand,Masalia,Dumka,JHARKHAND,NA,Palojori S.O,Dumka H.O,NA,NA
Pindra Hat B.O,814153,B.O,Delivery,Santhal Parganas,Ranchi,Jharkhand,Poraiyahat,Godda,JHARKHAND,NA,Poraiyahat S.O,B.Deoghar H.O,NA,NA
Pipra B.O,814147,B.O,Delivery,Santhal Parganas,Ranchi,Jharkhand,Pathergama,Godda,JHARKHAND,NA,Pathergama S.O,B.Deoghar H.O,NA,NA
Piprakarudih B.O,814102,B.O,Delivery,Santhal Parganas,Ranchi,Jharkhand,Ramgarah,Dumka,JHARKHAND,NA,Ramgarah S.O,Dumka H.O,NA,NA
Piyarpur B.O,816108,B.O,Delivery,Santhal Parganas,Ranchi,Jharkhand,Rajmahal,Sahibganj,JHARKHAND,NA,Rajmahal S.O,Dumka H.O,NA,NA
Poraiyahat S.O,814153,S.O,Delivery,Santhal Parganas,Ranchi,Jharkhand,Poraiyahat,Deoghar,JHARKHAND,06422-258402,NA,B.Deoghar H.O,NA,NA
Pratappur B.O,814160,B.O,Delivery,Santhal Parganas,Ranchi,Jharkhand,Meharma,Godda,JHARKHAND,NA,Meharma S.O,B.Deoghar H.O,NA,NA
Pratappur B.O,816118,B.O,Delivery,Santhal Parganas,Ranchi,Jharkhand,Shikaripara,Dumka,JHARKHAND,NA,Shikaripara S.O,Dumka H.O,NA,NA
Pratappur B.O,814148,B.O,Delivery,Santhal Parganas,Ranchi,Jharkhand,Raneswar,Dumka,JHARKHAND,NA,Raghunathpur S.O (Dumka),Dumka H.O,NA,NA
Prithinagar B.O,816107,B.O,Delivery,Santhal Parganas,Ranchi,Jharkhand,Pakur,Pakur,JHARKHAND,NA,Pakur S.O,Dumka H.O,NA,NA
Punasi B.O,814152,B.O,Delivery,Santhal Parganas,Ranchi,Jharkhand,Debuipur,Deoghar,JHARKHAND,NA,Rohani S.O,B.Deoghar H.O,NA,NA
Puranadumka B.O,814110,B.O,Delivery,Santhal Parganas,Ranchi,Jharkhand,Dumka,Dumka,JHARKHAND,NA,Shivpahar S.O,Dumka H.O,NA,NA
Purjori B.O,814150,B.O,Delivery,Santhal Parganas,Ranchi,Jharkhand,Sarwan,Deoghar,JHARKHAND,NA,Sarwan S.O,B.Deoghar H.O,NA,NA
Pusaldih B.O,814103,B.O,Delivery,Santhal Parganas,Ranchi,Jharkhand,Kathikund,Dumka,JHARKHAND,NA,Kathikund S.O,Dumka H.O,NA,NA
R.B. Palasi B.O,816118,B.O,Delivery,Santhal Parganas,Ranchi,Jharkhand,Shikaripara,Dumka,JHARKHAND,NA,Shikaripara S.O,Dumka H.O,NA,NA
Radhanager B.O,816101,B.O,Delivery,Santhal Parganas,Ranchi,Jharkhand,Uedhwa,Sahibganj,JHARKHAND,NA,Barharwa S.O (Sahibganj),Dumka H.O,NA,NA
