officename,pincode,officeType,Deliverystatus,divisionname,regionname,circlename,Taluk,Districtname,statename,Telephone,Related Suboffice,Related Headoffice,longitude,latitude
Keonjhargarh H.O,758001,H.O,Delivery,Keonjhar,Sambalpur,Odisha,Keonjhar,Kendujhar,ODISHA,06766-255513,NA,NA,NA,NA
Keshudurapal B.O,758025,B.O,Delivery,Keonjhar,Sambalpur,Odisha,Anandapur,Kendujhar,ODISHA,NA,Kushaleswar S.O,Keonjhargarh H.O,NA,NA
Ketanga B.O,758029,B.O,Delivery,Keonjhar,Sambalpur,Odisha,Ghatagaon,Kendujhar,ODISHA,NA,Dhenkikote S.O,Keonjhargarh H.O,NA,NA
Khadikapada B.O,758081,B.O,Delivery,Keonjhar,Sambalpur,Odisha,Ghatagaon,Kendujhar,ODISHA,NA,Machhagarh S.O,Keonjhargarh H.O,NA,NA
Khajirapat B.O,758045,B.O,Delivery,Keonjhar,Sambalpur,Odisha,Patna,Kendujhar,ODISHA,NA,Udayapur S.O,Keonjhargarh H.O,NA,NA
Khajuribani B.O,758079,B.O,Delivery,Keonjhar,Sambalpur,Odisha,Ghatagaon,Kendujhar,ODISHA,NA,Janghira S.O,Keonjhargarh H.O,NA,NA
Khalana B.O,758043,B.O,Delivery,Keonjhar,Sambalpur,Odisha,Anandapur,Kendujhar,ODISHA,NA,Sainkul S.O,Keonjhargarh H.O,NA,NA
Khalapal B.O,758025,B.O,Delivery,Keonjhar,Sambalpur,Odisha,Anandapur,Kendujhar,ODISHA,NA,Kushaleswar S.O,Keonjhargarh H.O,NA,NA
Khaliamenta B.O,758015,B.O,Delivery,Keonjhar,Sambalpur,Odisha,Anandapur,Kendujhar,ODISHA,NA,Ghasipura S.O,Keonjhargarh H.O,NA,NA
Khandabandha B.O,758034,B.O,Delivery,Keonjhar,Sambalpur,Odisha,Barbil,Kendujhar,ODISHA,NA,Joda S.O,Keonjhargarh H.O,NA,NA
Khenda B.O,758031,B.O,Delivery,Keonjhar,Sambalpur,Odisha,Champua,Kendujhar,ODISHA,NA,Jhumpura S.O,Keonjhargarh H.O,NA,NA
Khireitangiri B.O,758046,B.O,Delivery,Keonjhar,Sambalpur,Odisha,Keonjhar,Kendujhar,ODISHA,NA,Turumunga S.O,Keonjhargarh H.O,NA,NA
Khuntapada B.O,758031,B.O,Delivery,Keonjhar,Sambalpur,Odisha,Champua,Kendujhar,ODISHA,NA,Jhumpura S.O,Keonjhargarh H.O,NA,NA
Khuntapada B.O,758045,B.O,Delivery,Keonjhar,Sambalpur,Odisha,Patna,Kendujhar,ODISHA,NA,Udayapur S.O,Keonjhargarh H.O,NA,NA
