officename,pincode,officeType,Deliverystatus,divisionname,regionname,circlename,Taluk,Districtname,statename,Telephone,Related Suboffice,Related Headoffice,longitude,latitude
Benchmardi B.O,584122,B.O,Delivery,Raichur,North Karnataka,Karnataka,Manvi,Raichur,KARNATAKA,NA,Lingasugur S.O,Raichur H.O,NA,NA
Bendarganekal B.O,584116,B.O,Delivery,Raichur,North Karnataka,Karnataka,Deodurga,Raichur,KARNATAKA,NA,Jalahalli S.O,Raichur H.O,NA,NA
Bichal B.O,584140,B.O,Delivery,Raichur,North Karnataka,Karnataka,Raichur,Raichur,KARNATAKA,NA,Gunjahalli S.O,Raichur H.O,NA,NA
Bommanahal B.O,584113,B.O,Delivery,Raichur,North Karnataka,Karnataka,Deodurga,Raichur,KARNATAKA,NA,Gabbur S.O,Raichur H.O,NA,NA
Budiwal Camp B.O,584167,B.O,Delivery,Raichur,North Karnataka,Karnataka,Sindhanur,Raichur,KARNATAKA,NA,Dhadesugur S.O,Raichur H.O,NA,NA
Byagawat B.O,584123,B.O,Delivery,Raichur,North Karnataka,Karnataka,Manvi,Raichur,KARNATAKA,NA,Manvi S.O,Raichur H.O,NA,NA
C.S. Farm B.O,584143,B.O,Delivery,Raichur,North Karnataka,Karnataka,Sindhnur,Raichur,KARNATAKA,NA,Jawalgera S.O,Raichur H.O,NA,NA
Chandrabanda B.O,584102,B.O,Delivery,Raichur,North Karnataka,Karnataka,Raichur,Raichur,KARNATAKA,NA,Raichur Mukram Gunj S.O,Raichur H.O,NA,NA
Channahalli B.O,584128,B.O,Delivery,Raichur,North Karnataka,Karnataka,Raichur,Raichur,KARNATAKA,NA,Sindhanur S.O,Raichur H.O,NA,NA
Chickalparvi B.O,584123,B.O,Delivery,Raichur,North Karnataka,Karnataka,Manvi,Raichur,KARNATAKA,NA,Manvi S.O,Raichur H.O,NA,NA
Chickbudur B.O,584126,B.O,Delivery,Raichur,North Karnataka,Karnataka,Deodurga,Raichur,KARNATAKA,NA,Mosarkal S.O,Raichur H.O,NA,NA
Chickhesarur B.O,584120,B.O,Delivery,Raichur,North Karnataka,Karnataka,Lingasugur,Raichur,KARNATAKA,NA,Kowthal S.O,Raichur H.O,NA,NA
Chickkotnakal B.O,584143,B.O,Delivery,Raichur,North Karnataka,Karnataka,Sindhnur,Raichur,KARNATAKA,NA,Jawalgera S.O,Raichur H.O,NA,NA
Chicksugur B.O,584134,B.O,Delivery,Raichur,North Karnataka,Karnataka,Raichur,Raichur,KARNATAKA,NA,Yeramarus S.O,Raichur H.O,NA,NA
