officename,pincode,officeType,Deliverystatus,divisionname,regionname,circlename,Taluk,Districtname,statename,Telephone,Related Suboffice,Related Headoffice,longitude,latitude
Pada B.O,476355,B.O,Delivery,Morena,Gwalior,Madhya Pradesh,Karahal,Sheopur,MADHYA PRADESH,NA,Karhal S.O (Sheopur),Morena H.O,NA,NA
Padhawali B.O,476444,B.O,Delivery,Morena,Gwalior,Madhya Pradesh,Morena,Morena,MADHYA PRADESH,NA,Banmore S.O,Morena H.O,NA,NA
Padhora B.O,477335,B.O,Delivery,Morena,Gwalior,Madhya Pradesh,Ron,Bhind,MADHYA PRADESH,NA,Raun S.O,Bhind H.O,NA,NA
Pahadgarh S.O,476228,S.O,Delivery,Morena,Gwalior,Madhya Pradesh,Joura,Morena,MADHYA PRADESH,07533-284225,NA,Morena H.O,NA,NA
Palawali B.O,477331,B.O,Delivery,Morena,Gwalior,Madhya Pradesh,Bhind,Bhind,MADHYA PRADESH,NA,Umri S.O (Bhind),Bhind H.O,NA,NA
Pali B.O,477660,B.O,Delivery,Morena,Gwalior,Madhya Pradesh,Ater,Bhind,MADHYA PRADESH,NA,Gormi S.O,Bhind H.O,NA,NA
Pali Darman B.O,477116,B.O,Delivery,Morena,Gwalior,Madhya Pradesh,Gohad,Bhind,MADHYA PRADESH,NA,Gohad S.O,Bhind H.O,NA,NA
Panchampura B.O,476219,B.O,Delivery,Morena,Gwalior,Madhya Pradesh,Joura,Morena,MADHYA PRADESH,NA,Baghchini S.O,Morena H.O,NA,NA
Pandola B.O,476339,B.O,Delivery,Morena,Gwalior,Madhya Pradesh,Sheopur,Sheopur,MADHYA PRADESH,NA,Sheopur Baroda S.O,Morena H.O,NA,NA
Pandori B.O,477331,B.O,Delivery,Morena,Gwalior,Madhya Pradesh,Bhind,Bhind,MADHYA PRADESH,NA,Umri S.O (Bhind),Bhind H.O,NA,NA
Paragoun B.O,477105,B.O,Delivery,Morena,Gwalior,Madhya Pradesh,Ater,Bhind,MADHYA PRADESH,NA,Nai Zameen Bhind S.O,Bhind H.O,NA,NA
Parghana B.O,477227,B.O,Delivery,Morena,Gwalior,Madhya Pradesh,Mehgoun,Bhind,MADHYA PRADESH,NA,Amayan S.O,Bhind H.O,NA,NA
Pariksha B.O,477447,B.O,Delivery,Morena,Gwalior,Madhya Pradesh,Ater,Bhind,MADHYA PRADESH,NA,Daboh S.O,Bhind H.O,NA,NA
Pariksha B.O,476554,B.O,Delivery,Morena,Gwalior,Madhya Pradesh,Morena,Morena,MADHYA PRADESH,NA,Khadiahar S.O,Morena H.O,NA,NA
Parikshit Ka Pura B.O,476111,B.O,Delivery,Morena,Gwalior,Madhya Pradesh,Ambah,Morena,MADHYA PRADESH,NA,Ambah S.O,Morena H.O,NA,NA
Paroli B.O,476444,B.O,Delivery,Morena,Gwalior,Madhya Pradesh,Morena,Morena,MADHYA PRADESH,NA,Banmore S.O,Morena H.O,NA,NA
Parosa B.O,477660,B.O,Delivery,Morena,Gwalior,Madhya Pradesh,Mehgoun,Bhind,MADHYA PRADESH,NA,Gormi S.O,Bhind H.O,NA,NA
Parsota B.O,476221,B.O,Delivery,Morena,Gwalior,Madhya Pradesh,Joura,Morena,MADHYA PRADESH,NA,Joura S.O,Morena H.O,NA,NA
Pawai B.O,477660,B.O,Delivery,Morena,Gwalior,Madhya Pradesh,Bhind,Bhind,MADHYA PRADESH,NA,Gormi S.O,Bhind H.O,NA,NA
Pawaya B.O,476444,B.O,Delivery,Morena,Gwalior,Madhya Pradesh,Morena,Morena,MADHYA PRADESH,NA,Banmore S.O,Morena H.O,NA,NA
Phoop S.O,477555,S.O,Delivery,Morena,Gwalior,Madhya Pradesh,Bhind,Bhind,MADHYA PRADESH,07534-257225,NA,Bhind H.O,NA,NA
Pidora B.O,477001,B.O directly a/w Head Office,Delivery,Morena,Gwalior,Madhya Pradesh,Bhind,Bhind,MADHYA PRADESH,NA,NA,Bhind H.O,NA,NA
Pipadi B.O,477660,B.O,Delivery,Morena,Gwalior,Madhya Pradesh,Mehgoun,Bhind,MADHYA PRADESH,NA,Gormi S.O,Bhind H.O,NA,NA
Pipahadi B.O,477116,B.O,Delivery,Morena,Gwalior,Madhya Pradesh,Gohad,Bhind,MADHYA PRADESH,NA,Gohad S.O,Bhind H.O,NA,NA
Piparipooth B.O,476115,B.O,Delivery,Morena,Gwalior,Madhya Pradesh,Porsa,Morena,MADHYA PRADESH,NA,Porsa S.O,Morena H.O,NA,NA
