officename,pincode,officeType,Deliverystatus,divisionname,regionname,circlename,Taluk,Districtname,statename,Telephone,Related Suboffice,Related Headoffice,longitude,latitude
Babhulgaon B.O,444501,B.O,Delivery,Akola,Nagpur,Maharashtra,Akola,Akola,MAHARASHTRA,NA,Patur S.O,Akola H.O,NA,NA
Babhulgaon Jahangir B.O,444104,B.O,Delivery,Akola,Nagpur,Maharashtra,Akola,Akola,MAHARASHTRA,NA,Krishinagar Akola S.O,Akola H.O,NA,NA
Bahadura B.O,444311,B.O,Delivery,Akola,Nagpur,Maharashtra,Akola,Akola,MAHARASHTRA,NA,Nimba S.O,Akola H.O,NA,NA
Balapur S.O,444302,S.O,Delivery,Akola,Nagpur,Maharashtra,Akola,Akola,MAHARASHTRA,07257-222122,NA,Akola H.O,NA,NA
Balegaon B.O,444117,B.O,Delivery,Akola,Nagpur,Maharashtra,Akola,Akola,MAHARASHTRA,NA,Mundgaon S.O,Akola H.O,NA,NA
Bapori B.O,444106,B.O,Delivery,Akola,Nagpur,Maharashtra,Akola,Akola,MAHARASHTRA,NA,Mana S.O,Akola H.O,NA,NA
Barshitakli S.O,444401,S.O,Delivery,Akola,Nagpur,Maharashtra,Barshitakli,Akola,MAHARASHTRA,07255-242702,NA,Akola H.O,NA,NA
Batwadi B.O,444302,B.O,Delivery,Akola,Nagpur,Maharashtra,NA,Akola,MAHARASHTRA,NA,Balapur S.O,Akola H.O,NA,NA
Belkhed B.O,444108,B.O,Delivery,Akola,Nagpur,Maharashtra,Akola,Akola,MAHARASHTRA,NA,Telhara S.O (Akola),Akola H.O,NA,NA
Bembla B.O,444110,B.O,Delivery,Akola,Nagpur,Maharashtra,NA,Washim,MAHARASHTRA,NA,Kamargaon S.O (Washim),Akola H.O,NA,NA
Bhamb B.O,444110,B.O,Delivery,Akola,Nagpur,Maharashtra,NA,Washim,MAHARASHTRA,NA,Kamargaon S.O (Washim),Akola H.O,NA,NA
Bhamberi B.O,444108,B.O,Delivery,Akola,Nagpur,Maharashtra,Akola,Akola,MAHARASHTRA,NA,Telhara S.O (Akola),Akola H.O,NA,NA
Bhandaraj B.O,444501,B.O,Delivery,Akola,Nagpur,Maharashtra,Akola,Akola,MAHARASHTRA,NA,Patur S.O,Akola H.O,NA,NA
Bhar B.O,444506,B.O,Delivery,Akola,Nagpur,Maharashtra,Akola,Akola,MAHARASHTRA,NA,Risod S.O,Akola H.O,NA,NA
Bhatori B.O,444107,B.O,Delivery,Akola,Nagpur,Maharashtra,Akola,Akola,MAHARASHTRA,NA,Murtizapur S.O,Akola H.O,NA,NA
Bhatumra B.O,444505,B.O,Delivery,Akola,Nagpur,Maharashtra,Washim,Washim,MAHARASHTRA,NA,Washim S.O,Akola H.O,NA,NA
Bhendi Mahal B.O,444407,B.O,Delivery,Akola,Nagpur,Maharashtra,Akola,Akola,MAHARASHTRA,NA,Pinjar S.O,Akola H.O,NA,NA
Bhuli B.O,444404,B.O,Delivery,Akola,Nagpur,Maharashtra,Mangrulpir,Washim,MAHARASHTRA,NA,Manora S.O (Washim),Akola H.O,NA,NA
Bhurad B.O,444002,B.O,Delivery,Akola,Nagpur,Maharashtra,NA,Akola,MAHARASHTRA,NA,Akola City S.O,Akola H.O,NA,NA
Bordi B.O,444101,B.O,Delivery,Akola,Nagpur,Maharashtra,NA,Akola,MAHARASHTRA,NA,Akot S.O,Akola H.O,NA,NA
Borgaon KD B.O,444407,B.O,Delivery,Akola,Nagpur,Maharashtra,Akola,Akola,MAHARASHTRA,NA,Pinjar S.O,Akola H.O,NA,NA
Borgaon Manju S.O,444102,S.O,Delivery,Akola,Nagpur,Maharashtra,Akola,Akola,MAHARASHTRA,0724-2238383,NA,Akola H.O,NA,NA
Borta B.O,444106,B.O,Delivery,Akola,Nagpur,Maharashtra,Akola,Akola,MAHARASHTRA,NA,Mana S.O,Akola H.O,NA,NA
Bramhi B.O,444106,B.O,Delivery,Akola,Nagpur,Maharashtra,Akola,Akola,MAHARASHTRA,NA,Mana S.O,Akola H.O,NA,NA
Chandikapur B.O,444101,B.O,Delivery,Akola,Nagpur,Maharashtra,NA,Akola,MAHARASHTRA,NA,Akot S.O,Akola H.O,NA,NA
Chandur B.O,444004,B.O,Delivery,Akola,Nagpur,Maharashtra,NA,Washim,MAHARASHTRA,NA,Gandhinagar S.O (Akola),Akola H.O,NA,NA
Channi B.O,444501,B.O,Delivery,Akola,Nagpur,Maharashtra,Akola,Akola,MAHARASHTRA,NA,Patur S.O,Akola H.O,NA,NA
Charangaon B.O,444511,B.O,Delivery,Akola,Nagpur,Maharashtra,NA,Akola,MAHARASHTRA,NA,Alegaon S.O,Akola H.O,NA,NA
Chatari B.O,444501,B.O,Delivery,Akola,Nagpur,Maharashtra,Akola,Akola,MAHARASHTRA,NA,Patur S.O,Akola H.O,NA,NA
Chikhalgaon B.O,444006,B.O,Delivery,Akola,Nagpur,Maharashtra,NA,Akola,MAHARASHTRA,NA,Tajnapeth Akola S.O,Akola H.O,NA,NA
Chikhali B.O,444510,B.O,Delivery,Akola,Nagpur,Maharashtra,Washim,Washim,MAHARASHTRA,NA,Rithad S.O,Akola H.O,NA,NA
Chinchamba Bhar B.O,444506,B.O,Delivery,Akola,Nagpur,Maharashtra,Washim,Washim,MAHARASHTRA,NA,Risod S.O,Akola H.O,NA,NA
Chinchambapen B.O,444504,B.O,Delivery,Akola,Nagpur,Maharashtra,Washim,Washim,MAHARASHTRA,NA,Sirpur S.O,Akola H.O,NA,NA
Chittalwadi B.O,444103,B.O,Delivery,Akola,Nagpur,Maharashtra,NA,Akola,MAHARASHTRA,NA,Hiverkhed Ruprao S.O,Akola H.O,NA,NA
Chivara B.O,444505,B.O,Delivery,Akola,Nagpur,Maharashtra,Washim,Washim,MAHARASHTRA,NA,Washim S.O,Akola H.O,NA,NA
Chohatta B.O,444101,B.O,Delivery,Akola,Nagpur,Maharashtra,Akola,Akola,MAHARASHTRA,NA,Akot S.O,Akola H.O,NA,NA
Chondhi B.O,444511,B.O,Delivery,Akola,Nagpur,Maharashtra,NA,Akola,MAHARASHTRA,NA,Alegaon S.O,Akola H.O,NA,NA
Dabha B.O,444403,B.O,Delivery,Akola,Nagpur,Maharashtra,Mangrulpir,Washim,MAHARASHTRA,NA,Mangrulpir S.O,Akola H.O,NA,NA
Dagadparwa B.O,444401,B.O,Delivery,Akola,Nagpur,Maharashtra,NA,Akola,MAHARASHTRA,NA,Barshitakli S.O,Akola H.O,NA,NA
Dahigaon B.O,444102,B.O,Delivery,Akola,Nagpur,Maharashtra,NA,Akola,MAHARASHTRA,NA,Borgaon Manju S.O,Akola H.O,NA,NA
Dahigaon B.O,444108,B.O,Delivery,Akola,Nagpur,Maharashtra,Akola,Akola,MAHARASHTRA,NA,Telhara S.O (Akola),Akola H.O,NA,NA
Dahihanda S.O,444111,S.O,Delivery,Akola,Nagpur,Maharashtra,Akola,Akola,MAHARASHTRA,0724-2222522,NA,Akola H.O,NA,NA
Danori Panori B.O,444101,B.O,Delivery,Akola,Nagpur,Maharashtra,NA,Akola,MAHARASHTRA,NA,Akot S.O,Akola H.O,NA,NA
Dapura B.O,444003,B.O,Delivery,Akola,Nagpur,Maharashtra,Akola,Akola,MAHARASHTRA,NA,Shivaji Park Akola S.O,Akola H.O,NA,NA
Dapura Kd B.O,444404,B.O,Delivery,Akola,Nagpur,Maharashtra,Mangrulpir,Washim,MAHARASHTRA,NA,Manora S.O (Washim),Akola H.O,NA,NA
Dawha B.O,444503,B.O,Delivery,Akola,Nagpur,Maharashtra,Washim,Washim,MAHARASHTRA,NA,Malegaon S.O,Akola H.O,NA,NA
Degaon B.O,444502,B.O,Delivery,Akola,Nagpur,Maharashtra,Akola,Akola,MAHARASHTRA,NA,Vadegaon S.O,Akola H.O,NA,NA
