officename,pincode,officeType,Deliverystatus,divisionname,regionname,circlename,Taluk,Districtname,statename,Telephone,Related Suboffice,Related Headoffice,longitude,latitude
Chandwara B.O,481661,B.O directly a/w Head Office,Delivery,Balaghat,Bhopal HQ,Madhya Pradesh,Mandla,Mandla,MADHYA PRADESH,NA,NA,Mandla H.O,NA,NA
Charega R.S. B.O,481551,B.O,Delivery,Balaghat,Bhopal HQ,Madhya Pradesh,Balaghat,Balaghat,MADHYA PRADESH,NA,Lamta S.O,Balaghat H.O,NA,NA
Chawadi B.O,480661,B.O directly a/w Head Office,Delivery,Balaghat,Bhopal HQ,Madhya Pradesh,Seoni,Seoni,MADHYA PRADESH,NA,NA,Seoni H.O,NA,NA
Chhanta B.O,481880,B.O,Delivery,Balaghat,Bhopal HQ,Madhya Pradesh,Dindori,Dindori,MADHYA PRADESH,NA,Dindori S.O (Dindori),Mandla H.O,NA,NA
Chhapara S.O,480884,S.O,Delivery,Balaghat,Bhopal HQ,Madhya Pradesh,Lakhanadon,Seoni,MADHYA PRADESH,07691-290221,NA,Seoni H.O,NA,NA
Chhapartala B.O,481996,B.O,Delivery,Balaghat,Bhopal HQ,Madhya Pradesh,Bhuabichhia,Mandla,MADHYA PRADESH,NA,Sijhora S.O,Mandla H.O,NA,NA
Chhapra B.O,481885,B.O,Delivery,Balaghat,Bhopal HQ,Madhya Pradesh,Niwas,Dindori,MADHYA PRADESH,NA,Niwas S.O,Mandla H.O,NA,NA
Chhinda B.O,480994,B.O,Delivery,Balaghat,Bhopal HQ,Madhya Pradesh,Keolari,Seoni,MADHYA PRADESH,NA,Keolari S.O,Seoni H.O,NA,NA
Chhindbarri B.O,480990,B.O,Delivery,Balaghat,Bhopal HQ,Madhya Pradesh,Seoni,Seoni,MADHYA PRADESH,NA,Kanhiwada S.O,Seoni H.O,NA,NA
Chhirpani B.O,481672,B.O,Delivery,Balaghat,Bhopal HQ,Madhya Pradesh,Sahpura Niwas,Dindori,MADHYA PRADESH,NA,Chabi S.O,Mandla H.O,NA,NA
Chhui B.O,480990,B.O,Delivery,Balaghat,Bhopal HQ,Madhya Pradesh,Seoni,Seoni,MADHYA PRADESH,NA,Kanhiwada S.O,Seoni H.O,NA,NA
Chichgaon B.O,481768,B.O,Delivery,Balaghat,Bhopal HQ,Madhya Pradesh,Nainpur,Mandla,MADHYA PRADESH,NA,Chiraidongri S.O,Mandla H.O,NA,NA
Chikhla B.O,481226,B.O,Delivery,Balaghat,Bhopal HQ,Madhya Pradesh,Kirnapur,Balaghat,MADHYA PRADESH,NA,Hatta S.O (Balaghat),Balaghat H.O,NA,NA
Chikhla Bandh B.O,481335,B.O,Delivery,Balaghat,Bhopal HQ,Madhya Pradesh,Waraseoni,Balaghat,MADHYA PRADESH,NA,Rampaily S.O,Balaghat H.O,NA,NA
Chillod B.O,481331,B.O,Delivery,Balaghat,Bhopal HQ,Madhya Pradesh,Waraseoni,Balaghat,MADHYA PRADESH,NA,Waraseoni S.O,Balaghat H.O,NA,NA
Chirai Dongri B.O,481662,B.O,Delivery,Balaghat,Bhopal HQ,Madhya Pradesh,Niwas,Mandla,MADHYA PRADESH,NA,Padariyanarayan Ganj S.O,Mandla H.O,NA,NA
Chiraidongri S.O,481768,S.O,Delivery,Balaghat,Bhopal HQ,Madhya Pradesh,Nainpur,Mandla,MADHYA PRADESH,07646-272650,NA,Mandla H.O,NA,NA
Chubhawal B.O,481663,B.O,Delivery,Balaghat,Bhopal HQ,Madhya Pradesh,Mandla,Mandla,MADHYA PRADESH,NA,Mohgaon S.O,Mandla H.O,NA,NA
Chutka B.O,480990,B.O,Delivery,Balaghat,Bhopal HQ,Madhya Pradesh,Seoni,Seoni,MADHYA PRADESH,NA,Kanhiwada S.O,Seoni H.O,NA,NA
Dadiya B.O,481441,B.O,Delivery,Balaghat,Bhopal HQ,Madhya Pradesh,Lalbarra,Balaghat,MADHYA PRADESH,NA,Lalbarra S.O,Balaghat H.O,NA,NA
Dahedi B.O,481115,B.O,Delivery,Balaghat,Bhopal HQ,Madhya Pradesh,Kirnapur,Balaghat,MADHYA PRADESH,NA,Kirnapur S.O,Balaghat H.O,NA,NA
Damoh B.O,481051,B.O,Delivery,Balaghat,Bhopal HQ,Madhya Pradesh,Baihar,Balaghat,MADHYA PRADESH,NA,Birsa S.O,Balaghat H.O,NA,NA
Danitola B.O,481995,B.O,Delivery,Balaghat,Bhopal HQ,Madhya Pradesh,Bhua Bichhiya,Mandla,MADHYA PRADESH,NA,Bhuabichhia S.O,Mandla H.O,NA,NA
Dankakadi B.O,480888,B.O,Delivery,Balaghat,Bhopal HQ,Madhya Pradesh,Lakhnadon,Seoni,MADHYA PRADESH,NA,Dhuma S.O,Seoni H.O,NA,NA
Darasikala B.O,480771,B.O,Delivery,Balaghat,Bhopal HQ,Madhya Pradesh,Barghat,Seoni,MADHYA PRADESH,NA,Ari S.O,Seoni H.O,NA,NA
Dargada B.O,480888,B.O,Delivery,Balaghat,Bhopal HQ,Madhya Pradesh,Lakhnadon,Seoni,MADHYA PRADESH,NA,Dhuma S.O,Seoni H.O,NA,NA
Darri Mohgaon B.O,481879,B.O,Delivery,Balaghat,Bhopal HQ,Madhya Pradesh,Dindori,Dindori,MADHYA PRADESH,NA,Shahpur S.O (Dindori),Mandla H.O,NA,NA
Deeni B.O,481331,B.O,Delivery,Balaghat,Bhopal HQ,Madhya Pradesh,Waraseoni,Balaghat,MADHYA PRADESH,NA,Waraseoni S.O,Balaghat H.O,NA,NA
Deogaon B.O,481663,B.O,Delivery,Balaghat,Bhopal HQ,Madhya Pradesh,Mandla,Mandla,MADHYA PRADESH,NA,Mohgaon S.O,Mandla H.O,NA,NA
Deogaon B.O,480884,B.O,Delivery,Balaghat,Bhopal HQ,Madhya Pradesh,Lakhanadon,Seoni,MADHYA PRADESH,NA,Chhapara S.O,Seoni H.O,NA,NA
Deori B.O,481001,B.O directly a/w Head Office,Delivery,Balaghat,Bhopal HQ,Madhya Pradesh,Balaghat,Balaghat,MADHYA PRADESH,NA,NA,Balaghat H.O,NA,NA
Deori B.O,481449,B.O,Delivery,Balaghat,Bhopal HQ,Madhya Pradesh,Katangi,Balaghat,MADHYA PRADESH,NA,Tirodi S.O,Balaghat H.O,NA,NA
Deori B.O,480888,B.O,Delivery,Balaghat,Bhopal HQ,Madhya Pradesh,Lakhanadon,Seoni,MADHYA PRADESH,NA,Dhuma S.O,Seoni H.O,NA,NA
Deori Mal B.O,481880,B.O,Delivery,Balaghat,Bhopal HQ,Madhya Pradesh,Dindori,Dindori,MADHYA PRADESH,NA,Dindori S.O (Dindori),Mandla H.O,NA,NA
Deori Nainpur B.O,481668,B.O,Delivery,Balaghat,Bhopal HQ,Madhya Pradesh,Nainpur,Mandla,MADHYA PRADESH,NA,Pindrai S.O,Mandla H.O,NA,NA
Deorikala B.O,481885,B.O,Delivery,Balaghat,Bhopal HQ,Madhya Pradesh,Mandla,Mandla,MADHYA PRADESH,NA,Niwas S.O,Mandla H.O,NA,NA
Deorikala B.O,480886,B.O,Delivery,Balaghat,Bhopal HQ,Madhya Pradesh,Lakhnadon,Seoni,MADHYA PRADESH,NA,Lakhnadon S.O,Seoni H.O,NA,NA
Devalgaon B.O,481224,B.O,Delivery,Balaghat,Bhopal HQ,Madhya Pradesh,Lanji,Balaghat,MADHYA PRADESH,NA,Karanja S.O (Balaghat),Balaghat H.O,NA,NA
Dhadibhanpur B.O,481995,B.O,Delivery,Balaghat,Bhopal HQ,Madhya Pradesh,Bhua Bichhiya,Mandla,MADHYA PRADESH,NA,Bhuabichhia S.O,Mandla H.O,NA,NA
Dhamni B.O,481672,B.O,Delivery,Balaghat,Bhopal HQ,Madhya Pradesh,Sahpura Niwas,Dindori,MADHYA PRADESH,NA,Chabi S.O,Mandla H.O,NA,NA
Dhangaon B.O,481996,B.O,Delivery,Balaghat,Bhopal HQ,Madhya Pradesh,Bhuabichhia,Mandla,MADHYA PRADESH,NA,Sijhora S.O,Mandla H.O,NA,NA
Dhansua B.O,481102,B.O,Delivery,Balaghat,Bhopal HQ,Madhya Pradesh,Balaghat,Balaghat,MADHYA PRADESH,NA,Bharveli S.O,Balaghat H.O,NA,NA
Dhanwasi B.O,481880,B.O,Delivery,Balaghat,Bhopal HQ,Madhya Pradesh,Dindori,Dindori,MADHYA PRADESH,NA,Dindori S.O (Dindori),Mandla H.O,NA,NA
Dhapara B.O,480771,B.O,Delivery,Balaghat,Bhopal HQ,Madhya Pradesh,Barghat,Seoni,MADHYA PRADESH,NA,Ari S.O,Seoni H.O,NA,NA
