officename,pincode,officeType,Deliverystatus,divisionname,regionname,circlename,Taluk,Districtname,statename,Telephone,Related Suboffice,Related Headoffice,longitude,latitude
Alambadi B.O,621107,B.O,Delivery,Srirangam,Tiruchy,Tamilnadu,Perambalur,Perambalur,TAMIL NADU,NA,Kurumbalur S.O,Perambalur H.O,NA,NA
Alathudayanpatti B.O,621003,B.O,Delivery,Srirangam,Tiruchy,Tamilnadu,Turaiyur,Tiruchirappalli,TAMIL NADU,NA,Kottapalayam S.O,Turaiyur H.O,NA,NA
Alathur Gate B.O,621109,B.O,Delivery,Srirangam,Tiruchy,Tamilnadu,Kunnam,Perambalur,TAMIL NADU,NA,Padalur S.O,Perambalur H.O,NA,NA
Ammamandapam S.O,620006,S.O,Non-Delivery,Srirangam,Tiruchy,Tamilnadu,Srirangam,Tiruchirappalli,TAMIL NADU,0431-2430692,NA,Srirangam H.O,NA,NA
Ammangudi B.O,621208,B.O,Delivery,Srirangam,Tiruchy,Tamilnadu,Musiri,Tiruchirappalli,TAMIL NADU,NA,Kolakkudi S.O,Srirangam H.O,NA,NA
Ammapalayam S.O,621101,S.O,Delivery,Srirangam,Tiruchy,Tamilnadu,Perambalur,Perambalur,TAMIL NADU,04328-111111,NA,Perambalur H.O,NA,NA
Ammapatti B.O,621014,B.O,Delivery,Srirangam,Tiruchy,Tamilnadu,Turaiyur,Tiruchirappalli,TAMIL NADU,NA,Pagalavadi S.O,Turaiyur H.O,NA,NA
Amur B.O,621204,B.O,Delivery,Srirangam,Tiruchy,Tamilnadu,Musiri,Tiruchirappalli,TAMIL NADU,NA,Gunasilam S.O,Srirangam H.O,NA,NA
Andikurumbalur B.O,621717,B.O,Delivery,Srirangam,Tiruchy,Tamilnadu,Kunnam,Perambalur,TAMIL NADU,NA,Veppur S.O,Perambalur H.O,NA,NA
Angiyam B.O,621210,B.O,Delivery,Srirangam,Tiruchy,Tamilnadu,Musiri,Tiruchirappalli,TAMIL NADU,NA,Mettupalayam S.O,Turaiyur H.O,NA,NA
Annamangalam S.O,621102,S.O,Delivery,Srirangam,Tiruchy,Tamilnadu,Veppanthattai,Perambalur,TAMIL NADU,04328-111111,NA,Perambalur H.O,NA,NA
Anukkur B.O,621219,B.O,Delivery,Srirangam,Tiruchy,Tamilnadu,Veppanthattai,Perambalur,TAMIL NADU,NA,Yesanai S.O,Perambalur H.O,NA,NA
Appanallur B.O,621208,B.O,Non-Delivery,Srirangam,Tiruchy,Tamilnadu,Musiri,Tiruchirappalli,TAMIL NADU,NA,Kolakkudi S.O,Srirangam H.O,NA,NA
Arachi B.O,621214,B.O,Delivery,Srirangam,Tiruchy,Tamilnadu,Musiri,Tiruchirappalli,TAMIL NADU,NA,Thathiengarpet S.O,Turaiyur H.O,NA,NA
Aranarai B.O,621212,B.O directly a/w Head Office,Non-Delivery,Srirangam,Tiruchy,Tamilnadu,Perambalur,Perambalur,TAMIL NADU,NA,NA,Perambalur H.O,NA,NA
Arangoor B.O,621215,B.O,Delivery,Srirangam,Tiruchy,Tamilnadu,Thottiam,Tiruchirappalli,TAMIL NADU,NA,Thottiam S.O,Srirangam H.O,NA,NA
Arasalur B.O,621203,B.O,Delivery,Srirangam,Tiruchy,Tamilnadu,Musiri,Tiruchirappalli,TAMIL NADU,NA,Balasamudram S.O (Tiruchirappalli),Srirangam H.O,NA,NA
Arasalur B.O,621102,B.O,Delivery,Srirangam,Tiruchy,Tamilnadu,Veppanthattai,Perambalur,TAMIL NADU,NA,Annamangalam S.O,Perambalur H.O,NA,NA
Arumbavur S.O,621103,S.O,Delivery,Srirangam,Tiruchy,Tamilnadu,Veppanthattai,Perambalur,TAMIL NADU,04328-111111,NA,Perambalur H.O,NA,NA
Asoor B.O,621708,B.O,Delivery,Srirangam,Tiruchy,Tamilnadu,Kunnam,Perambalur,TAMIL NADU,NA,Kunnam S.O (Perambalur),Perambalur H.O,NA,NA
Athiyur B.O,621108,B.O,Delivery,Srirangam,Tiruchy,Tamilnadu,Kunnam,Perambalur,TAMIL NADU,NA,Labbaikudikadu S.O,Perambalur H.O,NA,NA
Ayikudi B.O,621115,B.O,Delivery,Srirangam,Tiruchy,Tamilnadu,Kunnam,Perambalur,TAMIL NADU,NA,Valikondapuram S.O,Perambalur H.O,NA,NA
Ayilur B.O,621113,B.O,Delivery,Srirangam,Tiruchy,Tamilnadu,Perambalur,Perambalur,TAMIL NADU,NA,Siruvachur S.O,Perambalur H.O,NA,NA
Ayyampalayam S.O,621202,S.O,Delivery,Srirangam,Tiruchy,Tamilnadu,Musiri,Tiruchirappalli,TAMIL NADU,04326-272300,NA,Srirangam H.O,NA,NA
B.Mettur B.O,621003,B.O,Delivery,Srirangam,Tiruchy,Tamilnadu,Thuraiyur,Tiruchirappalli,TAMIL NADU,NA,Kottapalayam S.O,Turaiyur H.O,NA,NA
Baderpettai B.O,621001,B.O,Delivery,Srirangam,Tiruchy,Tamilnadu,Turaiyur,Tiruchirappalli,TAMIL NADU,NA,Erakudi S.O,Turaiyur H.O,NA,NA
Balakrishnampatti B.O,621003,B.O,Delivery,Srirangam,Tiruchy,Tamilnadu,Thuraiyur,Tiruchirappalli,TAMIL NADU,NA,Kottapalayam S.O,Turaiyur H.O,NA,NA
Balasamudram S.O (Tiruchirappalli),621203,S.O,Delivery,Srirangam,Tiruchy,Tamilnadu,Thottiyam,Tiruchirappalli,TAMIL NADU,NA,NA,Srirangam H.O,NA,NA
Bikshandarkoil S.O,621216,S.O,Delivery,Srirangam,Tiruchy,Tamilnadu,Manachanallur,Tiruchirappalli,TAMIL NADU,0431-2593075,NA,Srirangam H.O,NA,NA
Bommanapadi B.O,621104,B.O,Delivery,Srirangam,Tiruchy,Tamilnadu,Perambalur,Perambalur,TAMIL NADU,NA,Chettikulam S.O,Perambalur H.O,NA,NA
Brammadesam B.O,621115,B.O,Delivery,Srirangam,Tiruchy,Tamilnadu,Veppanthattai,Perambalur,TAMIL NADU,NA,Valikondapuram S.O,Perambalur H.O,NA,NA
C.Ayyampalayam B.O,621005,B.O,Delivery,Srirangam,Tiruchy,Tamilnadu,Manachanallur,Tiruchirappalli,TAMIL NADU,NA,Manachanalloor S.O,Srirangam H.O,NA,NA
C.Mavilingai B.O,621104,B.O,Delivery,Srirangam,Tiruchy,Tamilnadu,Kunnam,Perambalur,TAMIL NADU,NA,Chettikulam S.O,Perambalur H.O,NA,NA
Chathiramanai B.O,621104,B.O,Delivery,Srirangam,Tiruchy,Tamilnadu,Perambalur,Perambalur,TAMIL NADU,NA,Chettikulam S.O,Perambalur H.O,NA,NA
Chettikulam S.O,621104,S.O,Delivery,Srirangam,Tiruchy,Tamilnadu,Kunnam,Perambalur,TAMIL NADU,04328-268979,NA,Perambalur H.O,NA,NA
Chinnakodunthurai B.O,621202,B.O,Delivery,Srirangam,Tiruchy,Tamilnadu,Musiri,Tiruchirappalli,TAMIL NADU,NA,Ayyampalayam S.O,Srirangam H.O,NA,NA
Chinnapallipalayam B.O,621207,B.O,Delivery,Srirangam,Tiruchy,Tamilnadu,Thottiam,Tiruchirappalli,TAMIL NADU,NA,Kattuputhur S.O,Srirangam H.O,NA,NA
Cholanganallur B.O,621213,B.O,Delivery,Srirangam,Tiruchy,Tamilnadu,Manachanalloor,Tiruchirappalli,TAMIL NADU,NA,Sirugambur S.O,Srirangam H.O,NA,NA
Devanur B.O,621214,B.O,Delivery,Srirangam,Tiruchy,Tamilnadu,Musiri,Tiruchirappalli,TAMIL NADU,NA,Thathiengarpet S.O,Turaiyur H.O,NA,NA
Devarappampatti B.O,621206,B.O,Delivery,Srirangam,Tiruchy,Tamilnadu,Thuraiyur,Tiruchirappalli,TAMIL NADU,NA,Kannanur S.O,Turaiyur H.O,NA,NA
Devimangalam B.O,621112,B.O,Delivery,Srirangam,Tiruchy,Tamilnadu,Manachanallur,Tiruchirappalli,TAMIL NADU,NA,Samayapuram S.O,Srirangam H.O,NA,NA
Edumalai B.O,621007,B.O,Delivery,Srirangam,Tiruchy,Tamilnadu,Musiri,Tiruchirappalli,TAMIL NADU,NA,Puthanampatti S.O,Turaiyur H.O,NA,NA
