officename,pincode,officeType,Deliverystatus,divisionname,regionname,circlename,Taluk,Districtname,statename,Telephone,Related Suboffice,Related Headoffice,longitude,latitude
Metturu B.O,532219,B.O,Delivery,Srikakulam,Visakhapatnam,Andhra Pradesh,Vajrapukotturu Mandal,Srikakulam,ANDHRA PRADESH,NA,Akkupalli S.O,Tekkali H.O,NA,NA
Mirtivalasa B.O,532168,B.O,Delivery,Srikakulam,Visakhapatnam,Andhra Pradesh,Santhakaviti Mandal,Srikakulam,ANDHRA PRADESH,NA,Ponduru S.O,Srikakulam H.O,NA,NA
Modallavalasa B.O,532484,B.O,Delivery,Srikakulam,Visakhapatnam,Andhra Pradesh,Ponduru Mandal,Srikakulam,ANDHRA PRADESH,NA,Dusi Rs S.O,Amadalavalasa H.O,NA,NA
Mofusbandar B.O,532401,B.O,Delivery,Srikakulam,Visakhapatnam,Andhra Pradesh,Srikakulam Mandal,Srikakulam,ANDHRA PRADESH,NA,Arasavilli S.O,Srikakulam H.O,NA,NA
Ms Palli S.O,532291,S.O,Delivery,Srikakulam,Visakhapatnam,Andhra Pradesh,Kanchili Mandal,Srikakulam,ANDHRA PRADESH,08947-234294,NA,Tekkali H.O,NA,NA
Muchindra B.O,532312,B.O,Delivery,Srikakulam,Visakhapatnam,Andhra Pradesh,Sompeta Mandal,Srikakulam,ANDHRA PRADESH,NA,Ichchapuram Bus Stand S.O,Tekkali H.O,NA,NA
Muddada B.O,532005,B.O,Delivery,Srikakulam,Visakhapatnam,Andhra Pradesh,Etcherla,Srikakulam,ANDHRA PRADESH,NA,Gujarathipeta S.O,Srikakulam H.O,NA,NA
Mukhalingam S.O,532428,S.O,Delivery,Srikakulam,Visakhapatnam,Andhra Pradesh,Jalumuru Mandal,Srikakulam,ANDHRA PRADESH,08942-230085,NA,Amadalavalasa H.O,NA,NA
Mundala B.O,532291,B.O,Delivery,Srikakulam,Visakhapatnam,Andhra Pradesh,Kanchili Mandal,Srikakulam,ANDHRA PRADESH,NA,Ms Palli S.O,Tekkali H.O,NA,NA
Murapaka S.O,532403,S.O,Delivery,Srikakulam,Visakhapatnam,Andhra Pradesh,Laveru,Srikakulam,ANDHRA PRADESH,08942-231127,NA,Srikakulam H.O,NA,NA
Nadagam B.O,532425,B.O,Delivery,Srikakulam,Visakhapatnam,Andhra Pradesh,Narasannapeta Mandal,Srikakulam,ANDHRA PRADESH,NA,Urlam S.O,Amadalavalasa H.O,NA,NA
Nadumuru B.O,532263,B.O,Delivery,Srikakulam,Visakhapatnam,Andhra Pradesh,Sompeta Mandal,Srikakulam,ANDHRA PRADESH,NA,Baruva S.O,Tekkali H.O,NA,NA
Nagarampalli B.O,532222,B.O,Delivery,Srikakulam,Visakhapatnam,Andhra Pradesh,Vajrapukotturu Mandal,Srikakulam,ANDHRA PRADESH,NA,Kasibugga S.O (Srikakulam),Tekkali H.O,NA,NA
Nagarikatakam B.O,532428,B.O,Delivery,Srikakulam,Visakhapatnam,Andhra Pradesh,Jalumuru Mandal,Srikakulam,ANDHRA PRADESH,NA,Mukhalingam S.O,Amadalavalasa H.O,NA,NA
Nagulavalasa B.O,532127,B.O,Delivery,Srikakulam,Visakhapatnam,Andhra Pradesh,Sigadam Mandal,Srikakulam,ANDHRA PRADESH,NA,Rajam S.O,Srikakulam H.O,NA,NA
Naira B.O,532186,B.O,Delivery,Srikakulam,Visakhapatnam,Andhra Pradesh,Srikakulam,Srikakulam,ANDHRA PRADESH,NA,Vengala Rao Colony S.O,Amadalavalasa H.O,NA,NA
Nandigam B.O,532203,B.O,Delivery,Srikakulam,Visakhapatnam,Andhra Pradesh,Nandigam Mandal,Srikakulam,ANDHRA PRADESH,NA,Venkateswara Colony S.O,Tekkali H.O,NA,NA
Narasannapeta Market S.O,532421,S.O,Non-Delivery,Srikakulam,Visakhapatnam,Andhra Pradesh,Narasannapeta,Srikakulam,ANDHRA PRADESH,08942-276030,NA,Amadalavalasa H.O,NA,NA
Narasannapeta S.O,532421,S.O,Delivery,Srikakulam,Visakhapatnam,Andhra Pradesh,Narasannapeta Mandal,Srikakulam,ANDHRA PRADESH,08942-277028,NA,Amadalavalasa H.O,NA,NA
Narasingupalli B.O,532203,B.O,Delivery,Srikakulam,Visakhapatnam,Andhra Pradesh,Tekkali Mandal,Srikakulam,ANDHRA PRADESH,NA,Venkateswara Colony S.O,Tekkali H.O,NA,NA
Narsipuram B.O,532203,B.O,Delivery,Srikakulam,Visakhapatnam,Andhra Pradesh,Nandigam Mandal,Srikakulam,ANDHRA PRADESH,NA,Venkateswara Colony S.O,Tekkali H.O,NA,NA
Naupada RS S.O,532212,S.O,Delivery,Srikakulam,Visakhapatnam,Andhra Pradesh,Santabommali Mandal,Srikakulam,ANDHRA PRADESH,08945-249741,NA,Tekkali H.O,NA,NA
Naupada S.O (Srikakulam),532211,S.O,Delivery,Srikakulam,Visakhapatnam,Andhra Pradesh,Santhabommali,Srikakulam,ANDHRA PRADESH,08945-249727,NA,Tekkali H.O,NA,NA
Nayaralavalasa B.O,532122,B.O,Delivery,Srikakulam,Visakhapatnam,Andhra Pradesh,Regidi Mandal,Srikakulam,ANDHRA PRADESH,NA,Vunukuru S.O,Srikakulam H.O,NA,NA
Neelampeta B.O,532445,B.O,Delivery,Srikakulam,Visakhapatnam,Andhra Pradesh,Burja Mandal,Srikakulam,ANDHRA PRADESH,NA,Burja S.O,Amadalavalasa H.O,NA,NA
Neelavathi B.O,532243,B.O,Delivery,Srikakulam,Visakhapatnam,Andhra Pradesh,Palasa Mandal,Srikakulam,ANDHRA PRADESH,NA,Haripuram S.O,Tekkali H.O,NA,NA
Neelayyavalasa B.O,532122,B.O,Delivery,Srikakulam,Visakhapatnam,Andhra Pradesh,Vangara Mandal,Srikakulam,ANDHRA PRADESH,NA,Vunukuru S.O,Srikakulam H.O,NA,NA
Neradi B.O,532459,B.O,Delivery,Srikakulam,Visakhapatnam,Andhra Pradesh,Kotturu Mandal,Srikakulam,ANDHRA PRADESH,NA,Hiramandalam S.O,Amadalavalasa H.O,NA,NA
Nimmada B.O,532430,B.O,Delivery,Srikakulam,Visakhapatnam,Andhra Pradesh,Kotabommali Mandal,Srikakulam,ANDHRA PRADESH,NA,Priyagraharam S.O,Amadalavalasa H.O,NA,NA
Nivagam S.O,532457,S.O,Delivery,Srikakulam,Visakhapatnam,Andhra Pradesh,Kotturu,Srikakulam,ANDHRA PRADESH,08946-234634,NA,Amadalavalasa H.O,NA,NA
Nowgam B.O,532203,B.O,Delivery,Srikakulam,Visakhapatnam,Andhra Pradesh,Nandigam Mandal,Srikakulam,ANDHRA PRADESH,NA,Venkateswara Colony S.O,Tekkali H.O,NA,NA
