officename,pincode,officeType,Deliverystatus,divisionname,regionname,circlename,Taluk,Districtname,statename,Telephone,Related Suboffice,Related Headoffice,longitude,latitude
Brahampura B.O,847422,B.O,Delivery,Darbhanga,Muzaffarpur,Bihar,Benipur,Darbhanga,BIHAR,NA,Manigachi S.O,Laheriasarai H.O,NA,NA
Brahmpatti B.O,847201,B.O,Delivery,Darbhanga,Muzaffarpur,Bihar,Benipur,Darbhanga,BIHAR,NA,Bahera S.O,Darbhanga H.O,NA,NA
C M College S.O,846004,S.O,Non-Delivery,Darbhanga,Muzaffarpur,Bihar,NA,Darbhanga,BIHAR,06272-222636,NA,Darbhanga H.O,NA,NA
C.Quaztola B.O,847122,B.O,Delivery,Darbhanga,Muzaffarpur,Bihar,Madhubani,Madhubani,BIHAR,NA,Bisfi S.O,Darbhanga H.O,NA,NA
Chak Tataila B.O,847304,B.O,Delivery,Darbhanga,Muzaffarpur,Bihar,Darbhanga,Darbhanga,BIHAR,NA,Kamtaul S.O,Darbhanga H.O,NA,NA
Chakauti B.O,847307,B.O,Delivery,Darbhanga,Muzaffarpur,Bihar,Pupri,Sitamarhi,BIHAR,NA,Ratanpur S.O (Darbhanga),Darbhanga H.O,NA,NA
Chakla B.O,847201,B.O,Delivery,Darbhanga,Muzaffarpur,Bihar,Benipur,Darbhanga,BIHAR,NA,Bahera S.O,Darbhanga H.O,NA,NA
Chakwa B.O,847301,B.O,Delivery,Darbhanga,Muzaffarpur,Bihar,Darbhanga,Darbhanga,BIHAR,NA,Hayaghat Bilashpur S.O,Laheriasarai H.O,NA,NA
Chanaur B.O,847422,B.O,Delivery,Darbhanga,Muzaffarpur,Bihar,Benipur,Darbhanga,BIHAR,NA,Manigachi S.O,Laheriasarai H.O,NA,NA
Chandanpatti B.O,846002,B.O,Delivery,Darbhanga,Muzaffarpur,Bihar,Darbhanga,Darbhanga,BIHAR,NA,S.H.M.C S.O,Laheriasarai H.O,NA,NA
Chandauna B.O,847303,B.O,Delivery,Darbhanga,Muzaffarpur,Bihar,Darbhanga,Darbhanga,BIHAR,NA,Jogiara S.O,Darbhanga H.O,NA,NA
Chatwan B.O,847337,B.O,Delivery,Darbhanga,Muzaffarpur,Bihar,Darbhanga,Darbhanga,BIHAR,NA,Ryam Factory S.O,Darbhanga H.O,NA,NA
Chhacha B.O,847337,B.O,Delivery,Darbhanga,Muzaffarpur,Bihar,Darbhanga,Darbhanga,BIHAR,NA,Ryam Factory S.O,Darbhanga H.O,NA,NA
Chhotaipatti B.O,847337,B.O,Delivery,Darbhanga,Muzaffarpur,Bihar,Darbhanga,Darbhanga,BIHAR,NA,Ryam Factory S.O,Darbhanga H.O,NA,NA
Chilha Dilawarpur B.O,847101,B.O,Delivery,Darbhanga,Muzaffarpur,Bihar,Darbhanga,Darbhanga,BIHAR,NA,Anandpur S.O,Laheriasarai H.O,NA,NA
D.Kasraur B.O,847203,B.O,Delivery,Darbhanga,Muzaffarpur,Bihar,Darbhanga,Darbhanga,BIHAR,NA,Biraul S.O,Laheriasarai H.O,NA,NA
