officename,pincode,officeType,Deliverystatus,divisionname,regionname,circlename,Taluk,Districtname,statename,Telephone,Related Suboffice,Related Headoffice,longitude,latitude
Alipur Bangawan B.O,233302,B.O,Delivery,Ghazipur,Allahabad,Uttar Pradesh,Saidpur,Ghazipur,UTTAR PRADESH,NA,Nandganj S.O,Ghazipur H.O,NA,NA
Alipur Madara B.O,275203,B.O,Delivery,Ghazipur,Allahabad,Uttar Pradesh,Jakhania,Ghazipur,UTTAR PRADESH,NA,Jakhania S.O,Ghazipur H.O,NA,NA
Amaura B.O,232333,B.O,Delivery,Ghazipur,Allahabad,Uttar Pradesh,Zamania,Ghazipur,UTTAR PRADESH,NA,Satramganj Bazar S.O,Ghazipur H.O,NA,NA
Ameda B.O,233221,B.O,Delivery,Ghazipur,Allahabad,Uttar Pradesh,Saidpur,Ghazipur,UTTAR PRADESH,NA,Aurihar S.O,Ghazipur H.O,NA,NA
Amehta B.O,233223,B.O,Delivery,Ghazipur,Allahabad,Uttar Pradesh,Saidpur,Ghazipur,UTTAR PRADESH,NA,Rampur S.O (Ghazipur),Ghazipur H.O,NA,NA
Amrupur B.O,233231,B.O,Delivery,Ghazipur,Allahabad,Uttar Pradesh,Mohammadabad Yusufpur,Ghazipur,UTTAR PRADESH,NA,Bhawarkol S.O,Ghazipur H.O,NA,NA
Anauni B.O,233221,B.O,Delivery,Ghazipur,Allahabad,Uttar Pradesh,Saidpur,Ghazipur,UTTAR PRADESH,NA,Aurihar S.O,Ghazipur H.O,NA,NA
Andharipur Sonwal B.O,232336,B.O,Delivery,Ghazipur,Allahabad,Uttar Pradesh,Zamania,Ghazipur,UTTAR PRADESH,NA,Dharhni S.O,Ghazipur H.O,NA,NA
Andhau B.O,233305,B.O,Delivery,Ghazipur,Allahabad,Uttar Pradesh,Ghazipur,Ghazipur,UTTAR PRADESH,NA,Zangipur S.O,Ghazipur H.O,NA,NA
Arakhpur B.O,233305,B.O,Delivery,Ghazipur,Allahabad,Uttar Pradesh,Ghazipur,Ghazipur,UTTAR PRADESH,NA,Zangipur S.O,Ghazipur H.O,NA,NA
Asaon B.O,232336,B.O,Delivery,Ghazipur,Allahabad,Uttar Pradesh,Zamania,Ghazipur,UTTAR PRADESH,NA,Dharhni S.O,Ghazipur H.O,NA,NA
Asawar B.O,233225,B.O,Delivery,Ghazipur,Allahabad,Uttar Pradesh,Mohammadabad ,Ghazipur,UTTAR PRADESH,NA,Karimuddinpur S.O,Ghazipur H.O,NA,NA
Athatha B.O,232333,B.O,Delivery,Ghazipur,Allahabad,Uttar Pradesh,Zamania,Ghazipur,UTTAR PRADESH,NA,Satramganj Bazar S.O,Ghazipur H.O,NA,NA
Atwa Fatehpur B.O,233002,B.O,Delivery,Ghazipur,Allahabad,Uttar Pradesh,Ghazipur,Ghazipur,UTTAR PRADESH,NA,Peernagar S.O,Ghazipur H.O,NA,NA
Aurihar S.O,233221,S.O,Delivery,Ghazipur,Allahabad,Uttar Pradesh,Saidpur,Ghazipur,UTTAR PRADESH,05495-222025,NA,Ghazipur H.O,NA,NA
Awathahi B.O,233227,B.O,Delivery,Ghazipur,Allahabad,Uttar Pradesh,Mohammedabad,Ghazipur,UTTAR PRADESH,NA,Mohammadabad Yusufpur S.O,Ghazipur H.O,NA,NA
