officename,pincode,officeType,Deliverystatus,divisionname,regionname,circlename,Taluk,Districtname,statename,Telephone,Related Suboffice,Related Headoffice,longitude,latitude
Sultanpurghosh B.O,212653,B.O,Delivery,Fatehpur,Kanpur,Uttar Pradesh,Fatehpur,Fatehpur,UTTAR PRADESH,NA,Erayan S.O,Fatehpur H.O,NA,NA
Tapani B.O,212663,B.O,Delivery,Fatehpur,Kanpur,Uttar Pradesh,Fatehpur,Fatehpur,UTTAR PRADESH,NA,Bahua S.O,Fatehpur H.O,NA,NA
Tarapur B.O,212664,B.O,Delivery,Fatehpur,Kanpur,Uttar Pradesh,Fatehpur,Fatehpur,UTTAR PRADESH,NA,Malwan R.S. S.O,Fatehpur H.O,NA,NA
Teliyani B.O,212601,B.O directly a/w Head Office,Delivery,Fatehpur,Kanpur,Uttar Pradesh,Fatehpur,Fatehpur,UTTAR PRADESH,NA,NA,Fatehpur H.O,NA,NA
Teni B.O,212655,B.O,Delivery,Fatehpur,Kanpur,Uttar Pradesh,Fatehpur,Fatehpur,UTTAR PRADESH,NA,Khaga S.O,Fatehpur H.O,NA,NA
Tesahi Bujurg B.O,212655,B.O,Delivery,Fatehpur,Kanpur,Uttar Pradesh,Fatehpur,Fatehpur,UTTAR PRADESH,NA,Khaga S.O,Fatehpur H.O,NA,NA
Thariyaon B.O,212622,B.O,Delivery,Fatehpur,Kanpur,Uttar Pradesh,Fatehpur,Fatehpur,UTTAR PRADESH,NA,Bahrampur S.O,Fatehpur H.O,NA,NA
Tikar B.O,212620,B.O,Delivery,Fatehpur,Kanpur,Uttar Pradesh,Fatehpur,Fatehpur,UTTAR PRADESH,NA,Asother S.O,Fatehpur H.O,NA,NA
Tyonja B.O,212655,B.O,Delivery,Fatehpur,Kanpur,Uttar Pradesh,Fatehpur,Fatehpur,UTTAR PRADESH,NA,Khaga S.O,Fatehpur H.O,NA,NA
Ukathu B.O,212655,B.O,Delivery,Fatehpur,Kanpur,Uttar Pradesh,Fatehpur,Fatehpur,UTTAR PRADESH,NA,Khaga S.O,Fatehpur H.O,NA,NA
Umari B.O,212601,B.O directly a/w Head Office,Delivery,Fatehpur,Kanpur,Uttar Pradesh,Fatehpur,Fatehpur,UTTAR PRADESH,NA,NA,Fatehpur H.O,NA,NA
Vijaeepur B.O,212655,B.O,Delivery,Fatehpur,Kanpur,Uttar Pradesh,Fatehpur,Fatehpur,UTTAR PRADESH,NA,Khaga S.O,Fatehpur H.O,NA,NA
Yauhan B.O,212650,B.O,Delivery,Fatehpur,Kanpur,Uttar Pradesh,Fatehpur,Fatehpur,UTTAR PRADESH,NA,Chheolaha S.O,Fatehpur H.O,NA,NA
Agriculture College S.O,208002,S.O,Non-Delivery,Kanpur City,Kanpur,Uttar Pradesh,Csa,Kanpur Nagar,UTTAR PRADESH,0512-2563250,NA,Nawabganj H.O,NA,NA
Amour B.O,209401,B.O,Delivery,Kanpur City,Kanpur,Uttar Pradesh,Amour,Kanpur Nagar,UTTAR PRADESH,NA,Narwal S.O,Kanpur H.O,NA,NA
Anand Nagar S.O (Kanpur Nagar),208011,S.O,Non-Delivery,Kanpur City,Kanpur,Uttar Pradesh,Anand Nagar,Kanpur Nagar,UTTAR PRADESH,0512-2641175,NA,Kanpur Cantt. H.O,NA,NA
Anwarganj S.O,208003,S.O,Delivery,Kanpur City,Kanpur,Uttar Pradesh,Anwarganj,Kanpur Nagar,UTTAR PRADESH,0512-2520779,NA,Kanpur Cantt. H.O,NA,NA
Aranjhami B.O,209401,B.O,Delivery,Kanpur City,Kanpur,Uttar Pradesh,Aranjhami,Kanpur Nagar,UTTAR PRADESH,NA,Narwal S.O,Kanpur H.O,NA,NA
Armapore Estate S.O,208009,S.O,Non-Delivery,Kanpur City,Kanpur,Uttar Pradesh,Armapur,Kanpur Nagar,UTTAR PRADESH,0512-2513025,NA,Nawabganj H.O,NA,NA
Armapore S.O,208009,S.O,Delivery,Kanpur City,Kanpur,Uttar Pradesh,Kalpi Road,Kanpur Nagar,UTTAR PRADESH,0512-221973,NA,Nawabganj H.O,NA,NA
Arya Nagar S.O (Kanpur Nagar),208002,S.O,Non-Delivery,Kanpur City,Kanpur,Uttar Pradesh,Arya Nagar,Kanpur Nagar,UTTAR PRADESH,0512-2525608,NA,Nawabganj H.O,NA,NA
Avas Vikas Yojna No. 3 S.O,208017,S.O,Non-Delivery,Kanpur City,Kanpur,Uttar Pradesh,Avas Vikas Yojna No. 3,Kanpur Nagar,UTTAR PRADESH,0512-2574155,NA,Nawabganj H.O,NA,NA
B N Shukla & Sons S.O,208001,S.O,Non-Delivery,Kanpur City,Kanpur,Uttar Pradesh,Shanti Nagar,Kanpur Nagar,UTTAR PRADESH,0512-2369086,NA,Kanpur Cantt. H.O,NA,NA
Baikuthpur B.O,209217,B.O,Delivery,Kanpur City,Kanpur,Uttar Pradesh,Baikunthpur,Kanpur Nagar,UTTAR PRADESH,NA,Mandhana S.O,Kanpur H.O,NA,NA
Bairi B.O,208017,B.O,Delivery,Kanpur City,Kanpur,Uttar Pradesh,Bairi Gaon,Kanpur Nagar,UTTAR PRADESH,NA,Nsi S.O,Nawabganj H.O,NA,NA
Baraigarh B.O,209401,B.O,Delivery,Kanpur City,Kanpur,Uttar Pradesh,Baraigarh,Kanpur Nagar,UTTAR PRADESH,NA,Narwal S.O,Kanpur H.O,NA,NA
Barra S.O,208027,S.O,Delivery,Kanpur City,Kanpur,Uttar Pradesh,Barra,Kanpur Nagar,UTTAR PRADESH,0512-2602033,NA,Kanpur Cantt. H.O,NA,NA
Barra Vishwa Bank Sector-A S.O,208027,S.O,Non-Delivery,Kanpur City,Kanpur,Uttar Pradesh,Chauraha,Kanpur Nagar,UTTAR PRADESH,NA,NA,Kanpur Cantt. H.O,NA,NA
Bausar B.O,209401,B.O,Delivery,Kanpur City,Kanpur,Uttar Pradesh,Bausar,Kanpur Nagar,UTTAR PRADESH,NA,Narwal S.O,Kanpur H.O,NA,NA
Behta Gambhirpur B.O,209401,B.O,Delivery,Kanpur City,Kanpur,Uttar Pradesh,Behta Gambhirpur,Kanpur Nagar,UTTAR PRADESH,NA,Narwal S.O,Kanpur H.O,NA,NA
Bhadrsa B.O,209402,B.O,Delivery,Kanpur City,Kanpur,Uttar Pradesh,Bhadrsa,Kanpur Nagar,UTTAR PRADESH,NA,Sarsaul S.O,Kanpur H.O,NA,NA
Bhairampur B.O,209305,B.O,Delivery,Kanpur City,Kanpur,Uttar Pradesh,Bhairampur,Kanpur Nagar,UTTAR PRADESH,NA,Chakarpur S.O,Kanpur H.O,NA,NA
Bharu B.O,209214,B.O,Delivery,Kanpur City,Kanpur,Uttar Pradesh,Bharu,Kanpur Nagar,UTTAR PRADESH,NA,Bidhnoo S.O,Kanpur H.O,NA,NA
Bhauti Pratappur B.O,209305,B.O,Delivery,Kanpur City,Kanpur,Uttar Pradesh,Bhauti Pratappur,Kanpur Nagar,UTTAR PRADESH,NA,Chakarpur S.O,Kanpur H.O,NA,NA
Bheoli B.O,209402,B.O,Delivery,Kanpur City,Kanpur,Uttar Pradesh,Bheoli,Kanpur Nagar,UTTAR PRADESH,NA,Sarsaul S.O,Kanpur H.O,NA,NA
