officename,pincode,officeType,Deliverystatus,divisionname,regionname,circlename,Taluk,Districtname,statename,Telephone,Related Suboffice,Related Headoffice,longitude,latitude
Saja S.O,491993,S.O,Delivery,Durg,Raipur,Chattisgarh,Saja,Durg,CHATTISGARH,07825-269244,NA,Durg H.O,NA,NA
Sakha B.O,491885,B.O,Delivery,Durg,Raipur,Chattisgarh,Chhuikhadan,Rajnandgaon,CHATTISGARH,NA,Chhuikhadan S.O,Rajnandgaon H.O,NA,NA
Saldha B.O,491993,B.O,Delivery,Durg,Raipur,Chattisgarh,Saja,Durg,CHATTISGARH,NA,Saja S.O,Durg H.O,NA,NA
Salhe B.O,491228,B.O,Delivery,Durg,Raipur,Chattisgarh,Dondi Awari,Durg,CHATTISGARH,NA,Dallirajhara S.O,Durg H.O,NA,NA
Salhetola B.O,491558,B.O,Delivery,Durg,Raipur,Chattisgarh,Dongargaon,Rajnandgaon,CHATTISGARH,NA,Chhuria S.O,Rajnandgaon H.O,NA,NA
Salhewara B.O,491888,B.O,Delivery,Durg,Raipur,Chattisgarh,Gandai Pandaria,Rajnandgaon,CHATTISGARH,NA,Gandai Pandaria S.O,Rajnandgaon H.O,NA,NA
Saloni B.O,491444,B.O,Delivery,Durg,Raipur,Chattisgarh,Rajnandgaon,Rajnandgaon,CHATTISGARH,NA,Ghumka S.O,Rajnandgaon H.O,NA,NA
Sambalpur B.O,491771,B.O,Delivery,Durg,Raipur,Chattisgarh,Dondi Lohara,Durg,CHATTISGARH,NA,Dondi Lohara S.O,Durg H.O,NA,NA
Sambalpur B.O,491340,B.O,Delivery,Durg,Raipur,Chattisgarh,Nandghat,Durg,CHATTISGARH,NA,Nandghat S.O,Durg H.O,NA,NA
Samnapur B.O,491888,B.O,Delivery,Durg,Raipur,Chattisgarh,Gandai Pandaria,Rajnandgaon,CHATTISGARH,NA,Gandai Pandaria S.O,Rajnandgaon H.O,NA,NA
Sanjari B.O,491771,B.O,Delivery,Durg,Raipur,Chattisgarh,Dondi Lohara,Durg,CHATTISGARH,NA,Dondi Lohara S.O,Durg H.O,NA,NA
Sankra B.O,491111,B.O,Delivery,Durg,Raipur,Chattisgarh,Patan,Durg,CHATTISGARH,NA,Patan S.O (Durg),Durg H.O,NA,NA
Sankra J B.O,491226,B.O,Delivery,Durg,Raipur,Chattisgarh,Balod,Durg,CHATTISGARH,NA,Balod S.O,Durg H.O,NA,NA
Sanoud B.O,491222,B.O,Delivery,Durg,Raipur,Chattisgarh,Gunderdehi,Durg,CHATTISGARH,NA,Sikosa S.O,Durg H.O,NA,NA
Santra B.O,491111,B.O,Delivery,Durg,Raipur,Chattisgarh,Patan,Durg,CHATTISGARH,NA,Patan S.O (Durg),Durg H.O,NA,NA
Sarangpurkhurd B.O,491995,B.O,Delivery,Durg,Raipur,Chattisgarh,Kawardha,Kawardha,CHATTISGARH,NA,Kawardha S.O,Rajnandgaon H.O,NA,NA
Sarda B.O,491332,B.O,Delivery,Durg,Raipur,Chattisgarh,Berla,Durg,CHATTISGARH,NA,Berla S.O,Durg H.O,NA,NA
Sarkheda B.O,491229,B.O,Delivery,Durg,Raipur,Chattisgarh,Manpur,Rajnandgaon,CHATTISGARH,NA,Manpur S.O (Rajnandgaon),Rajnandgaon H.O,NA,NA
Sector 2 Bhilai S.O,490001,S.O,Non-Delivery,Durg,Raipur,Chattisgarh,Durg,Durg,CHATTISGARH,0788-2222967,NA,Durg H.O,NA,NA
Sector 3 Bhilai S.O,490001,S.O,Non-Delivery,Durg,Raipur,Chattisgarh,Durg,Durg,CHATTISGARH,0788-2224898,NA,Durg H.O,NA,NA
Sector 5 Bhilai S.O,490006,S.O,Non-Delivery,Durg,Raipur,Chattisgarh,Durg,Durg,CHATTISGARH,0788-2222837,NA,Durg H.O,NA,NA
Sector 6 Bhilai S.O,490006,S.O,Non-Delivery,Durg,Raipur,Chattisgarh,Durg,Durg,CHATTISGARH,0788-2220155,NA,Durg H.O,NA,NA
Sector 7 Bhilai S.O,490006,S.O,Non-Delivery,Durg,Raipur,Chattisgarh,Durg,Durg,CHATTISGARH,0788-2261413,NA,Durg H.O,NA,NA
Sector 8 Bhilai S.O,490009,S.O,Non-Delivery,Durg,Raipur,Chattisgarh,Durg,Durg,CHATTISGARH,0788-2261412,NA,Durg H.O,NA,NA
Sehamalgi B.O,491559,B.O,Delivery,Durg,Raipur,Chattisgarh,Pandaria,Kawardha,CHATTISGARH,NA,Pandaria S.O,Rajnandgaon H.O,NA,NA
Selud B.O,491107,B.O,Delivery,Durg,Raipur,Chattisgarh,Patan,Durg,CHATTISGARH,NA,Utai S.O,Durg H.O,NA,NA
Semaria B.O,491332,B.O,Delivery,Durg,Raipur,Chattisgarh,Berla,Durg,CHATTISGARH,NA,Berla S.O,Durg H.O,NA,NA
Seoni B.O,491229,B.O,Delivery,Durg,Raipur,Chattisgarh,Manpur,Rajnandgaon,CHATTISGARH,NA,Manpur S.O (Rajnandgaon),Rajnandgaon H.O,NA,NA
Shantipur B.O,491227,B.O,Delivery,Durg,Raipur,Chattisgarh,Gurur,Durg,CHATTISGARH,NA,Gurur S.O,Durg H.O,NA,NA
Shikari Mahka B.O,491558,B.O,Delivery,Durg,Raipur,Chattisgarh,Dongargaon,Rajnandgaon,CHATTISGARH,NA,Chhuria S.O,Rajnandgaon H.O,NA,NA
Sikosa S.O,491222,S.O,Delivery,Durg,Raipur,Chattisgarh,Gunderdehi,Durg,CHATTISGARH,0788-2618522,NA,Durg H.O,NA,NA
Silhati B.O,491995,B.O,Delivery,Durg,Raipur,Chattisgarh,Kawardha,Kawardha,CHATTISGARH,NA,Kawardha S.O,Rajnandgaon H.O,NA,NA
Singangarh B.O,491995,B.O,Delivery,Durg,Raipur,Chattisgarh,Kawardha,Kawardha,CHATTISGARH,NA,Kawardha S.O,Rajnandgaon H.O,NA,NA
Singarghat B.O,491881,B.O,Delivery,Durg,Raipur,Chattisgarh,Khairagarh Raj,Rajnandgaon,CHATTISGARH,NA,Khairagah Raj S.O,Rajnandgaon H.O,NA,NA
Singarpur B.O,491444,B.O,Delivery,Durg,Raipur,Chattisgarh,Rajnandgaon,Rajnandgaon,CHATTISGARH,NA,Ghumka S.O,Rajnandgaon H.O,NA,NA
